StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQ0,IRQ1,IRQ2,IRQ3,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-16_09-04-44.321142170,1526454284.323741607,22362103569,2018-05-16_09-05-14.379332390,1526454314.382780651,0.87,0.78,0.71,35756516244,37365543963430,240387107,121352857,124270395,125502713,94385,8,956045,17452870,1865,0,166996,21551,0,0,7707080,7111880,7025456,2108,158572
2018-05-16_09-05-14.448019933,1526454314.450654582,22123678318,2018-05-16_09-05-44.505615784,1526454344.509444390,0.86,0.79,0.71,35868526530,37448982758792,240685351,122854811,124270401,125502713,94428,8,958100,17461484,1865,0,167294,21551,0,0,7707080,7097860,7011772,2108,158584
2018-05-16_09-05-44.563448124,1526454344.566454624,15716276857,2018-05-16_09-06-14.622659688,1526454374.625443190,0.98,0.83,0.73,35969528136,37508271725518,242029334,122854814,124270406,125502713,94455,8,959915,17470510,1865,0,168449,21552,0,0,7707080,7097448,7011708,2108,158584
2018-05-16_09-06-14.673636711,1526454374.676447501,22154231665,2018-05-16_09-06-44.730714202,1526454404.733357117,0.92,0.83,0.73,36110635122,37591830991584,242326699,122854817,125659261,125502713,94489,8,961766,17479207,1865,0,168735,21552,0,0,7707080,7097780,7011892,2108,158584
2018-05-16_09-06-44.796203348,1526454404.798964864,22256550194,2018-05-16_09-07-14.846994709,1526454434.849690849,0.88,0.83,0.73,36256713348,37675774650764,242625865,122854826,125659270,127042474,94521,8,963771,17487806,1865,0,169025,21553,0,0,7707080,7097756,7011872,2108,158588
2018-05-16_09-07-14.906661595,1526454434.917400315,15820913371,2018-05-16_09-07-44.975225702,1526454464.978610943,1.13,0.89,0.76,36362356974,37735451178526,243970055,122854827,125659280,127042474,94554,8,965662,17496837,1865,0,170091,21554,0,0,7707080,7098088,7012008,2108,158588
2018-05-16_09-07-45.032876218,1526454465.035757127,22135279389,2018-05-16_09-08-15.085033751,1526454495.087908210,1.08,0.90,0.77,36505639620,37818939416570,244269390,124295490,125659287,127042476,94598,8,967580,17505378,1865,0,170431,21555,0,0,7707080,7096784,7010704,2108,158592
2018-05-16_09-08-15.136813505,1526454495.139360110,22303101524,2018-05-16_09-08-45.183844252,1526454525.186774813,0.99,0.90,0.77,36617607426,37903054297858,244567650,124295490,125659297,128600442,94626,8,969456,17514148,1865,0,170737,21555,0,0,7707080,7110668,7024708,2108,158588
2018-05-16_09-08-45.233867130,1526454525.237015633,22208344969,2018-05-16_09-09-15.285827818,1526454555.288660978,0.93,0.89,0.77,36761851152,37986813925636,244865590,124295490,127141066,128600442,94657,8,971445,17522784,1865,0,171049,21555,0,0,7707080,7111056,7024976,2108,158588
2018-05-16_09-09-15.334876237,1526454555.337453034,22381938776,2018-05-16_09-09-45.388827512,1526454585.391623901,0.95,0.90,0.78,36873929658,38071230524442,245163156,125807425,127141066,128600442,94686,8,973346,17531531,1865,0,171289,21555,0,0,7707080,7110908,7024928,2108,158588
