StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQ0,IRQ1,IRQ2,IRQ3,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-16_10-03-39.305330064,1526457819.308837660,22700991172,2018-05-16_10-04-09.360275341,1526457849.362999645,0.71,0.85,0.84,47101208706,46155906063448,303108368,158190713,161412310,160555495,98028,8,1162492,18521035,1865,0,212351,21606,0,0,7707080,7097100,7011108,2108,158764
2018-05-16_10-04-09.413766211,1526457849.416951501,22590441211,2018-05-16_10-04-39.463840634,1526457879.466628215,0.77,0.85,0.84,47250570312,46241086009264,303398899,158190713,161412317,162057005,98058,8,1164464,18529637,1865,0,212603,21606,0,0,7707080,7109404,7023612,2108,158764
2018-05-16_10-04-39.512845554,1526457879.515695604,22475311038,2018-05-16_10-05-09.563232736,1526457909.566093119,0.66,0.81,0.83,47394886698,46325833904544,303687219,159513859,161412322,162057005,98083,8,1166298,18538318,1865,0,212817,21606,0,0,7707080,7109596,7023600,2108,158756
2018-05-16_10-05-09.611315399,1526457909.613974770,16345263232,2018-05-16_10-05-39.661460547,1526457939.664203189,0.80,0.83,0.83,47500074564,46387479963228,305010771,159513859,161412322,162057005,98115,8,1168333,18547320,1865,0,213761,21606,0,0,7707080,7109832,7023840,2108,158760
2018-05-16_10-05-39.708644218,1526457939.711188168,22878694414,2018-05-16_10-06-09.759738137,1526457969.762426950,0.77,0.82,0.83,47616237330,46473747224324,305302559,159513859,161412322,163623544,98142,8,1170181,18556094,1865,0,214007,21606,0,0,7707080,7109436,7023640,2108,158760
2018-05-16_10-06-09.816303024,1526457969.818891088,22699760498,2018-05-16_10-06-39.876756298,1526457999.880104590,0.80,0.82,0.83,47731770816,46559343293154,305592496,159513859,162953621,163623544,98170,8,1172108,18564822,1865,0,214254,21606,0,0,7707080,7110516,7024228,2108,158760
2018-05-16_10-06-39.933085675,1526457999.935736880,16211041803,2018-05-16_10-07-09.986887861,1526458029.989755962,0.88,0.84,0.83,47837395002,46620482401022,306904777,159513859,162953621,163623544,98200,8,1174048,18573848,1865,0,215277,21607,0,0,7707080,7109872,7023716,2108,158760
2018-05-16_10-07-10.039604194,1526458030.042349681,22542015427,2018-05-16_10-07-40.088353218,1526458060.090981535,0.85,0.83,0.84,47985087528,46705481232230,307194406,160951930,162953621,163623544,98223,8,1175976,18582425,1865,0,215552,21607,0,0,7707080,7109980,7023740,2108,158760
2018-05-16_10-07-40.136128255,1526458060.139046280,22809412458,2018-05-16_10-08-10.187193120,1526458090.189887164,0.72,0.80,0.83,48101347074,46791488871546,307485551,160951930,164538729,163623544,98252,8,1177922,18591165,1865,0,215780,21607,0,0,7707080,7109780,7023988,2108,158760
2018-05-16_10-08-10.237530629,1526458090.240129223,22476331783,2018-05-16_10-08-40.293988055,1526458120.296714160,0.55,0.76,0.81,48246899100,46876241528780,307774261,160951930,164538729,165063364,98283,8,1179775,18599862,1865,0,216037,21607,0,0,7707080,7110020,7024028,2108,158760
2018-05-16_10-08-40.350423658,1526458120.353891408,22795406251,2018-05-16_10-09-10.401541241,1526458150.404697630,0.61,0.75,0.80,48363324306,46962193940912,308064949,162471971,164538729,165063364,98310,8,1181646,18608551,1865,0,216300,21607,0,0,7707080,7109728,7023932,2108,158760
2018-05-16_10-09-10.450102336,1526458150.452956379,16058094035,2018-05-16_10-09-40.508687837,1526458180.511676706,0.76,0.77,0.81,48468757932,47022762559066,309374726,162471971,164538730,165063368,98359,8,1183676,18617512,1865,0,217273,21607,0,0,7707080,7094500,7008364,2108,158772
2018-05-16_10-09-40.564395186,1526458180.567601589,22760341104,2018-05-16_10-10-10.617266214,1526458210.619973424,0.88,0.80,0.82,48583325178,47108584693530,309666529,162471971,164538736,166587777,98387,8,1185531,18626297,1865,0,217528,21609,0,0,7707080,7097112,7011052,2108,158780
2018-05-16_10-10-10.665284694,1526458210.667878456,22404674996,2018-05-16_10-10-40.713124366,1526458240.715918556,0.85,0.80,0.82,48725167704,47193063106984,309954805,162471971,165900215,166587785,98420,8,1187359,18635009,1865,0,217748,21611,0,0,7707080,7096852,7011260,2108,158784
2018-05-16_10-10-40.763989650,1526458240.766600719,16252674416,2018-05-16_10-11-10.818784337,1526458270.821438766,0.91,0.82,0.82,48825195030,47254370474398,311256723,162471977,165900226,166587786,98459,8,1189455,18644024,1865,0,218615,21611,0,0,7707080,7096860,7011076,2108,158788
2018-05-16_10-11-10.865045586,1526458270.867629498,22637080161,2018-05-16_10-11-40.919211181,1526458300.922080027,0.89,0.82,0.82,48929184336,47339727643122,311547082,163654272,165900231,166587788,98483,8,1191241,18652984,1865,0,218775,21612,0,0,7707080,7097112,7011132,2108,158788
2018-05-16_10-11-40.975953356,1526458300.978785401,22684481407,2018-05-16_10-12-11.032433051,1526458331.035667810,0.89,0.82,0.82,49031323122,47425260971004,311836480,163654274,167093546,166587789,98516,8,1193018,18662017,1865,0,218958,21612,0,0,7707080,7096840,7010860,2108,158792
2018-05-16_10-12-11.080427641,1526458331.083002701,22524052874,2018-05-16_10-12-41.134725748,1526458361.137894139,0.73,0.79,0.81,49117610148,47510189913824,312123739,163654276,167093553,167838770,98547,8,1194781,18671047,1865,0,219140,21612,0,0,7707080,7109384,7023600,2108,158784
2018-05-16_10-12-41.187898702,1526458361.190728003,22639918044,2018-05-16_10-13-11.239768766,1526458391.242769426,0.71,0.78,0.81,49202284494,47595557314534,312412349,164870169,167093556,167838770,98575,8,1196478,18680108,1865,0,219312,21612,0,0,7707080,7109916,7023936,2108,158784
2018-05-16_10-13-11.293667204,1526458391.296417181,15805787336,2018-05-16_10-13-41.349570389,1526458421.352375161,0.88,0.82,0.82,49293730860,47655180251036,313830461,164870169,167093556,167838770,98606,8,1198458,18689136,1865,0,220291,21612,0,0,7707080,7109540,7023560,2108,158784
2018-05-16_10-13-41.400650573,1526458421.403559588,22603849773,2018-05-16_10-14-11.454589851,1526458451.457337619,0.87,0.82,0.82,49396866786,47740410370346,314119908,164870169,167093556,169041648,98654,8,1200224,18698151,1865,0,220463,21612,0,0,7707080,7108876,7022896,2108,158788
2018-05-16_10-14-11.503604661,1526458451.506197251,22510549862,2018-05-16_10-14-41.557030094,1526458481.559781163,0.87,0.82,0.82,49500096072,47825289557512,314408867,164870169,168287473,169041648,98679,8,1202020,18707141,1865,0,220647,21612,0,0,7707080,7109668,7023420,2108,158788
2018-05-16_10-14-41.616920738,1526458481.619571422,22617196610,2018-05-16_10-15-11.675550621,1526458511.678557300,0.72,0.79,0.81,49604111838,47910571295348,314697387,164870169,168287473,170255731,98706,8,1203803,18716173,1865,0,220813,21613,0,0,7707080,7109864,7024088,2108,158788
2018-05-16_10-15-11.734554066,1526458511.737572889,22535406819,2018-05-16_10-15-41.786762400,1526458541.789536193,0.69,0.78,0.81,49691278704,47995543985624,314984704,164870169,169553736,170255731,98733,8,1205533,18725215,1865,0,221035,21613,0,0,7707080,7109532,7023552,2108,158788
2018-05-16_10-15-41.840535107,1526458541.843273355,22605219477,2018-05-16_10-16-11.892191835,1526458571.895628236,0.75,0.78,0.81,49792377030,48080781915132,315275263,166060395,169553736,170255731,98754,8,1207230,18734216,1865,0,221223,21613,0,0,7707080,7110156,7023912,2108,158788
2018-05-16_10-16-11.942758357,1526458571.945408886,15703696357,2018-05-16_10-16-41.993273512,1526458601.996011172,0.85,0.80,0.81,49890169656,48140008839996,316704418,166060395,169553736,170255731,98781,8,1209205,18743242,1865,0,222216,21613,0,0,7707080,7110380,7024448,2108,158788
2018-05-16_10-16-42.043934594,1526458602.046552022,22548123228,2018-05-16_10-17-12.095553487,1526458632.098686323,0.85,0.81,0.81,49977099702,48225030023806,316991781,166060395,170825032,170255731,98812,8,1210905,18752313,1865,0,222424,21613,0,0,7707080,7109452,7023668,2108,158788
2018-05-16_10-17-12.162722371,1526458632.165467449,22490396656,2018-05-16_10-17-42.218513666,1526458662.221198267,0.93,0.83,0.82,50080593168,48309832690994,317282362,166060395,170825034,171456901,98854,8,1212689,18761287,1865,0,222618,21613,0,0,7707080,7096380,7010560,2108,158796
2018-05-16_10-17-42.276973280,1526458662.279654861,15764825137,2018-05-16_10-18-12.340737254,1526458692.343893552,0.96,0.84,0.82,50175625374,48369299072234,318684622,166060395,170825041,171456901,98876,8,1214682,18770314,1865,0,223595,21613,0,0,7707080,7096564,7010596,2108,158796
2018-05-16_10-18-12.395302324,1526458692.399099809,22504082883,2018-05-16_10-18-42.448714470,1526458722.451649531,0.86,0.83,0.82,50261000220,48454154969908,318974373,167273424,170825055,171456904,98915,8,1216442,18779286,1865,0,223784,21614,0,0,7707080,7096412,7010596,2108,158804
2018-05-16_10-18-42.499024559,1526458722.501674412,22781956175,2018-05-16_10-19-12.548849193,1526458752.551746867,0.80,0.81,0.81,50376180126,48540058969668,319267258,167273432,170825061,172987257,98951,8,1218305,18788050,1865,0,224018,21614,0,0,7707080,7096812,7010848,2108,158808
2018-05-16_10-19-12.599319543,1526458752.602016393,22709535376,2018-05-16_10-19-42.648350943,1526458782.651131643,0.81,0.81,0.81,50491141752,48625686857322,319559273,167273437,172358992,172987257,98976,8,1220209,18796799,1865,0,224275,21614,0,0,7707080,7097096,7011056,2108,158808
2018-05-16_10-19-42.698906416,1526458782.701574196,22746807380,2018-05-16_10-20-12.746320626,1526458812.749049416,0.89,0.83,0.82,50607417438,48711455209526,319850444,168792087,172359004,172987260,99023,8,1222170,18805426,1865,0,224528,21614,0,0,7707080,7096792,7010840,2108,158812
2018-05-16_10-20-12.803554782,1526458812.806161483,16134690481,2018-05-16_10-20-42.862219978,1526458842.866458192,1.07,0.88,0.84,50711486124,48772307384118,321154970,168792087,172359014,172987262,99051,8,1224146,18814447,1865,0,225515,21616,0,0,7707080,7109780,7023828,2108,158808
2018-05-16_10-20-42.920383796,1526458842.923201043,22561447719,2018-05-16_10-21-12.972164102,1526458872.975288899,0.92,0.86,0.83,50858750850,48857380930914,321443947,168792087,173836051,172987262,99078,8,1226036,18823125,1865,0,225737,21617,0,0,7707080,7109696,7023744,2108,158808
2018-05-16_10-21-13.027637442,1526458873.030578923,22694744427,2018-05-16_10-21-43.079268561,1526458903.082462503,0.77,0.83,0.82,50975048016,48942956221248,321735494,168792087,173836051,174571569,99105,8,1227943,18831870,1865,0,225976,21617,0,0,7707080,7109760,7024004,2108,158808
2018-05-16_10-21-43.131201772,1526458903.134065209,16384598425,2018-05-16_10-22-13.188184708,1526458933.190950945,0.86,0.84,0.83,51082657062,49004762763574,323090481,168792087,173836051,174571569,99128,8,1229923,18840896,1865,0,226965,21618,0,0,7707080,7109852,7023612,2108,158808
