StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQconfig,IRQinput,IRQoutput,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-11_16-28-50.343765003,1526048930.346020426,13103333423,2018-05-11_16-29-20.387120508,1526048960.389355763,0.31,0.23,0.15,506891364,583206429570,0,0,0,828,0,13335,394230,2009,0,37,1497,0,0,7707080,7329460,7237604,2108,145212
2018-05-11_16-29-20.423753704,1526048960.425928399,13013088077,2018-05-11_16-29-50.466433235,1526048990.468719983,0.46,0.27,0.16,555048990,632063208908,0,0,0,846,0,14330,404875,2009,0,39,1632,0,0,7707080,7328976,7237164,2108,145216
2018-05-11_16-29-50.503184439,1526048990.505411101,12448259120,2018-05-11_16-30-20.547622248,1526049020.549941271,0.34,0.26,0.16,593612136,678801479170,0,0,0,862,0,15291,415601,2009,0,41,1704,0,0,7707080,7331804,7239884,2108,145216
2018-05-11_16-30-20.587315848,1526049020.589578500,12112293556,2018-05-11_16-30-50.634189247,1526049050.636453417,0.55,0.32,0.18,646480782,724278159568,0,0,0,874,0,16232,426283,2009,0,41,1909,0,0,7707080,7329296,7237484,2108,145216
2018-05-11_16-30-50.672333087,1526049050.674553831,13079546602,2018-05-11_16-31-20.716227217,1526049080.718494545,0.33,0.29,0.18,673701738,773383442780,0,0,0,890,0,17166,437022,2009,0,42,2216,0,0,7707080,7329844,7238032,2108,145216
2018-05-11_16-31-20.754198005,1526049080.756429773,13209370176,2018-05-11_16-31-50.798201693,1526049110.800469739,0.28,0.28,0.18,711022764,822978674050,0,0,0,902,0,18183,447655,2009,0,43,2384,0,0,7707080,7330116,7238304,2108,145216
2018-05-11_16-31-50.835325907,1526049110.837514095,12991866531,2018-05-11_16-32-20.878191008,1526049140.880424803,0.23,0.27,0.18,759336090,871756760708,0,0,0,916,0,19172,458314,2009,0,47,2463,0,0,7707080,7329444,7237828,2108,145216
2018-05-11_16-32-20.915875959,1526049140.918114547,13069332938,2018-05-11_16-32-50.960517332,1526049170.962736702,0.22,0.26,0.18,801790776,920826501316,0,0,0,931,0,20195,468971,2009,0,48,2529,0,0,7707080,7329760,7237948,2108,145216
2018-05-11_16-32-50.999239119,1526049171.001444315,13233338564,2018-05-11_16-33-21.043488924,1526049201.045714091,0.34,0.28,0.19,850375962,970511767442,0,0,0,946,0,21538,479315,2009,0,48,2682,0,0,7707080,7329624,7238012,2108,145216
2018-05-11_16-33-21.082462168,1526049201.084659632,13134607017,2018-05-11_16-33-51.126282976,1526049231.128576097,0.33,0.29,0.19,905918688,1019826327406,0,0,0,965,0,22556,489825,2012,0,50,2866,0,0,7707080,7329344,7237732,2108,145388
2018-05-11_16-33-51.163594862,1526049231.165870823,13126117768,2018-05-11_16-34-21.210039519,1526049261.212307781,0.33,0.29,0.20,940734954,1069109215856,0,0,0,985,0,23604,500496,2012,0,52,3076,0,0,7707080,7326316,7234912,2108,145388
