StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQ0,IRQ1,IRQ2,IRQ3,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-22_08-28-12.203766454,1526970492.206492209,38.190677,2018-05-22_08-28-42.456266234,1526970522.459178255,0.50,0.74,0.93,1474559094,2015641029624,6809481,2110291,2447577,19606233215879,6,54585,10128401,1792,0,11285,87,0,0,7707080,7211592,7124324,2108,158020
2018-05-22_08-28-42.504091816,1526970522.506793603,38.170978,2018-05-22_08-29-12.757391604,1526970552.760287247,0.70,0.76,0.94,1474560238,2015641030956,6809499,2110291,2447579,19606313218893,6,54600,10137477,1792,0,11285,87,0,0,7707080,7199444,7112572,2108,158028
2018-05-22_08-29-12.812638058,1526970552.815457027,38.151323,2018-05-22_08-29-43.071519366,1526970583.074776029,0.82,0.79,0.94,1474561382,2015641032288,6809511,2110291,2447582,19606423221910,6,54608,10146565,1792,0,11285,87,0,0,7707080,7199296,7112032,2108,158028
2018-05-22_08-29-43.123548720,1526970583.126475906,38.197222,2018-05-22_08-30-13.378014570,1526970613.380948219,0.89,0.81,0.94,1474562526,2015641033620,6809531,2110294,2447602,19606423224937,6,54630,10155630,1792,0,11285,87,0,0,7707080,7199064,7111804,2108,158036
2018-05-22_08-30-13.429371338,1526970613.432226570,38.193946,2018-05-22_08-30-43.683267204,1526970643.686099384,0.93,0.82,0.94,1474563670,2015641034952,6809554,2110299,2447610,19606423227953,6,54643,10164707,1792,0,11285,87,0,0,7707080,7199532,7111984,2108,158036
2018-05-22_08-30-43.731727684,1526970643.734527787,38.193946,2018-05-22_08-31-13.982414228,1526970673.985503260,0.96,0.84,0.95,1474564814,2015641036284,6809572,2110311,2447610,19606423230972,6,54650,10173794,1792,0,11285,87,0,0,7707080,7199700,7112440,2108,158036
2018-05-22_08-31-14.031349642,1526970674.034021735,38.187391,2018-05-22_08-31-44.281771392,1526970704.284536408,0.97,0.86,0.95,1474565958,2015641037616,6809592,2110316,2447629,19606423233995,6,54661,10182870,1792,0,11285,87,0,0,7707080,7199408,7112540,2108,158040
2018-05-22_08-31-44.328921018,1526970704.331564197,38.161171,2018-05-22_08-32-14.589004668,1526970734.593195199,0.98,0.87,0.95,1474567102,2015641038948,6809612,2110317,2447629,19606533237008,6,54678,10191943,1792,0,11285,87,0,0,7707080,7211456,7124096,2108,158040
2018-05-22_08-32-14.639678157,1526970734.642471979,38.108569,2018-05-22_08-32-44.900089927,1526970764.903417998,0.99,0.88,0.95,1474568246,2015641040280,6809627,2110317,2447629,19606643240023,6,54686,10201033,1792,0,11285,87,0,0,7707080,7211712,7124440,2108,158040
2018-05-22_08-32-44.951777945,1526970764.954618147,38.190662,2018-05-22_08-33-15.204785622,1526970795.207885635,0.99,0.89,0.95,1474569390,2015641041612,6809640,2110317,2447640,19606643243042,6,54693,10210121,1792,0,11285,88,0,0,7707080,7211636,7124592,2108,158040
2018-05-22_08-33-15.254255818,1526970795.257099172,38.197136,2018-05-22_08-33-45.505886862,1526970825.509066084,1.00,0.90,0.95,1474570534,2015641042944,6809652,2110328,2447640,19606643246063,6,54699,10219209,1792,0,11285,88,0,0,7707080,7211404,7124552,2108,158040
2018-05-22_08-33-45.558301483,1526970825.561095496,38.193949,2018-05-22_08-34-15.809935905,1526970855.812961705,1.00,0.91,0.95,1474571678,2015641044276,6809672,2110328,2447640,19606643249085,6,54705,10228296,1792,0,11285,88,0,0,7707080,7212088,7124588,2108,158040
2018-05-22_08-34-15.860500982,1526970855.863360835,38.187381,2018-05-22_08-34-46.112252486,1526970886.115054411,1.00,0.92,0.95,1474572822,2015641045608,6809685,2110328,2447651,19606643252102,6,54712,10237383,1792,0,11285,88,0,0,7707080,7212204,7124812,2108,158040
2018-05-22_08-34-46.162722602,1526970886.165572053,38.193823,2018-05-22_08-35-16.417312127,1526970916.420130616,1.00,0.93,0.95,1474573966,2015641046940,6809698,2110328,2447651,19606763255121,6,54719,10246471,1792,0,11285,88,0,0,7707080,7212124,7125028,2108,158040
