StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQ0,IRQ1,IRQ2,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,CTXT,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-18_15-08-18.197883919,1526648898.200087363,11497009690,2018-05-18_15-08-48.241116696,1526648928.243343500,0.18,0.13,0.18,5042927540,2914588469516,0,0,0,1575,0,59391,1242101,2295,0,1839,9791,0,0,3940220,7707080,7325300,7235556,2108,148576
2018-05-18_15-08-48.279572477,1526648928.281724428,11501899213,2018-05-18_15-09-18.322977281,1526648958.325205270,0.11,0.12,0.17,5086213106,2957771137146,0,0,0,1591,0,60248,1252948,2295,0,1862,9826,0,0,3992531,7707080,7325704,7235532,2108,148576
2018-05-18_15-09-18.361707425,1526648958.363856773,11069332296,2018-05-18_15-09-48.404970965,1526648988.407174267,0.19,0.14,0.18,5127979412,2999327175974,0,0,0,1604,0,61023,1263879,2295,0,1876,9860,0,0,4044418,7707080,7325568,7235628,2108,148576
2018-05-18_15-09-48.443397357,1526648988.445597798,11517482368,2018-05-18_15-10-18.486053930,1526649018.488223243,0.31,0.17,0.19,5171612618,3042569392970,0,0,0,1621,0,61935,1274697,2295,0,1898,9956,0,0,4096803,7707080,7325372,7235540,2108,148584
2018-05-18_15-10-18.524408736,1526649018.526574793,11358397506,2018-05-18_15-10-48.568934811,1526649048.571128663,0.24,0.17,0.19,5195120804,3085212947022,0,0,0,1633,0,62766,1285643,2295,0,1911,10039,0,0,4148614,7707080,7325080,7235348,2108,148584
2018-05-18_15-10-48.607648461,1526649048.609816308,11711268079,2018-05-18_15-11-18.650994516,1526649078.653165907,0.29,0.19,0.19,5239358990,3129181493932,0,0,0,1648,0,63744,1296276,2295,0,1941,10098,0,0,4199898,7707080,7325908,7236180,2108,148584
2018-05-18_15-11-18.689634944,1526649078.691770041,11525410033,2018-05-18_15-11-48.731891185,1526649108.734084370,0.31,0.20,0.20,5283269576,3172453568546,0,0,0,1662,0,64627,1307108,2295,0,1967,10176,0,0,4251921,7707080,7325768,7235988,2108,148584
2018-05-18_15-11-48.770356770,1526649108.772488791,11551525403,2018-05-18_15-12-18.812972830,1526649138.815145309,0.32,0.21,0.20,5334293642,3215823919622,0,0,0,1676,0,65514,1317916,2295,0,1994,10270,0,0,4303787,7707080,7325972,7236444,2108,148584
2018-05-18_15-12-18.851178056,1526649138.853340738,11557148342,2018-05-18_15-12-48.894038179,1526649168.896253008,0.39,0.24,0.21,5380714660,3259209762028,0,0,0,1691,0,66323,1328772,2295,0,2013,10354,0,0,4357020,7707080,7323804,7233896,2108,148584
2018-05-18_15-12-48.932479980,1526649168.934630703,11627597529,2018-05-18_15-13-18.975075076,1526649198.977262433,0.36,0.25,0.22,5424273766,3302861655152,0,0,0,1702,0,67148,1339635,2295,0,2035,10407,0,0,4410109,7707080,7325496,7235572,2108,148584
2018-05-18_15-13-19.013586160,1526649199.015735212,11479361455,2018-05-18_15-13-49.056943231,1526649229.059126793,0.41,0.27,0.23,5467161052,3345957407354,0,0,0,1714,0,67931,1350519,2295,0,2053,10618,0,0,4462632,7707080,7325616,7235692,2108,148584
2018-05-18_15-13-49.095440170,1526649229.097637317,11130904289,2018-05-18_15-14-19.137851071,1526649259.140040394,0.50,0.31,0.24,5489597792,3387746431976,0,0,0,1728,0,68740,1361480,2295,0,2071,10637,0,0,4513325,7707080,7325344,7235420,2108,148584
2018-05-18_15-14-19.176307693,1526649259.178512096,11683456742,2018-05-18_15-14-49.219923782,1526649289.222123506,0.31,0.28,0.23,5533923098,3431613148162,0,0,0,1744,0,69778,1372060,2295,0,2108,10673,0,0,4563843,7707080,7325892,7235908,2108,148584
