StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQ0,IRQ1,IRQ2,IRQ3,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-16_11-47-40.958643742,1526464060.962749393,5408982554,2018-05-16_11-48-11.017353714,1526464091.020162258,0.04,0.42,0.63,67372112310,61815351136496,409219587,220629188,224742864,226129279,104129,8,1523401,20412114,1865,0,287561,21688,0,0,7707080,7211888,7125832,2108,159064
2018-05-16_11-48-11.068301291,1526464091.071049416,5286121586,2018-05-16_11-48-41.119889531,1526464121.122789618,0.03,0.38,0.61,67379732976,61835909298624,409242440,220629188,224959692,226129280,104140,8,1523708,20423553,1865,0,287574,21691,0,0,7707080,7224776,7139296,2108,159060
2018-05-16_11-48-41.174384067,1526464121.177079581,17480288542,2018-05-16_11-49-11.231896780,1526464151.235171159,0.47,0.45,0.63,67460818722,61903900650500,410501587,220629188,224959696,226129280,104167,8,1525765,20432583,1865,0,288481,21692,0,0,7707080,7225008,7139136,2108,159060
2018-05-16_11-49-11.284794526,1526464151.287527437,25547244344,2018-05-16_11-49-41.333395016,1526464181.336164147,0.48,0.46,0.62,67529855988,62003247613564,410801210,221576817,224959696,226129280,104199,8,1527690,20441689,1865,0,288670,21692,0,0,7707080,7225128,7138976,2108,159060
2018-05-16_11-49-41.382131351,1526464181.384692992,25550785548,2018-05-16_11-50-11.431128491,1526464211.433896352,0.68,0.51,0.64,67599927594,62102611707408,411101311,221576817,225939455,226129280,104234,8,1529660,20450799,1865,0,288860,21692,0,0,7707080,7224492,7138624,2108,159064
2018-05-16_11-50-11.479079369,1526464211.481787777,25559991089,2018-05-16_11-50-41.529668697,1526464241.532364778,0.89,0.57,0.65,67670431532,62202010673878,411401403,221576817,225939455,227197784,104262,8,1531624,20459887,1865,0,289054,21693,0,0,7707080,7224116,7138248,2108,159064
2018-05-16_11-50-41.577669461,1526464241.580302918,25371681627,2018-05-16_11-51-11.638449102,1526464271.642848617,0.83,0.58,0.65,67739402318,62300677232630,411699751,222605267,225939455,227197784,104309,8,1533639,20468905,1865,0,289265,21694,0,0,7707080,7224504,7138840,2108,159064
2018-05-16_11-51-11.691181409,1526464271.693786870,17388065045,2018-05-16_11-51-41.748252808,1526464301.751065813,0.96,0.64,0.67,67820289524,62368310822174,412959707,222605267,225939455,227197784,104334,8,1535714,20477933,1865,0,290154,21696,0,0,7707080,7225460,7139600,2108,159064
2018-05-16_11-51-41.798456618,1526464301.801087645,25407036983,2018-05-16_11-52-11.858968525,1526464331.862559774,0.85,0.64,0.67,67891014910,62467117959412,413257828,222605267,225939455,228270216,104368,8,1537787,20486971,1865,0,290367,21696,0,0,7707080,7225344,7139632,2108,159064
2018-05-16_11-52-11.916339297,1526464331.919336612,25486323793,2018-05-16_11-52-41.971451012,1526464361.974777158,0.71,0.63,0.67,67957773196,62566235625496,413556803,222605267,226941129,228270216,104399,8,1539773,20496089,1865,0,290569,21697,0,0,7707080,7225548,7139892,2108,159064
2018-05-16_11-52-42.024398654,1526464362.026992237,25442098210,2018-05-16_11-53-12.072978258,1526464392.075794479,0.88,0.68,0.68,68027258362,62665176727738,413855148,222605267,227904033,228270216,104427,8,1541831,20505185,1865,0,290782,21697,0,0,7707080,7224876,7139212,2108,159064
