StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQ0,IRQ1,IRQ2,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,CTXT,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-21_21-01-11.408378453,1526929271.410587576,12034848914,2018-05-21_21-01-41.455726762,1526929301.457878490,0.29,0.28,0.24,14671111734,10067348770806,0,22130303,3052,4634,6,297710,4032045,2253,0,9759,101,0,0,12083070,7707080,7315296,7226456,2108,146864
2018-05-21_21-01-41.493673175,1526929301.495828697,11858905037,2018-05-21_21-02-11.537872529,1526929331.540287502,0.50,0.33,0.26,14752431660,10111874802364,0,22225479,3068,4650,6,299210,4042185,2253,0,9848,101,0,0,12120256,7707080,7317308,7228336,2108,146864
2018-05-21_21-02-11.578513259,1526929331.580744260,11686119732,2018-05-21_21-02-41.621501968,1526929361.623642778,0.63,0.38,0.28,14832403566,10155751741918,0,22319048,3083,4663,6,300720,4052312,2253,0,9948,101,0,0,12155989,7707080,7317172,7228264,2108,146864
2018-05-21_21-02-41.659911909,1526929361.662036383,11590616769,2018-05-21_21-03-11.703472933,1526929391.705650647,0.73,0.42,0.30,14912621412,10199271526324,0,22408201,3098,4676,6,302257,4062434,2253,0,10036,101,0,0,12191238,7707080,7317336,7228496,2108,146864
2018-05-21_21-03-11.741446306,1526929391.743561522,12169998824,2018-05-21_21-03-41.784542680,1526929421.786751814,0.90,0.49,0.33,14996261418,10244967067904,0,22510428,3114,4691,6,303900,4072426,2253,0,10162,101,0,0,12224676,7707080,7317476,7228436,2108,146864
2018-05-21_21-03-41.822727788,1526929421.824845918,12062269433,2018-05-21_21-04-11.866212466,1526929451.868480566,0.73,0.49,0.33,15059551044,10290256849574,0,22609666,3129,4704,6,305331,4082695,2253,0,10238,101,0,0,12264188,7707080,7317832,7228736,2108,146864
2018-05-21_21-04-11.905869060,1526929451.908091386,11421539325,2018-05-21_21-04-41.949835310,1526929481.951993779,0.77,0.53,0.35,15141384090,10333141562238,0,22700366,3144,4722,6,306744,4092914,2253,0,10327,101,0,0,12302108,7707080,7315800,7227108,2108,146856
2018-05-21_21-04-41.987970306,1526929481.990099747,8476673071,2018-05-21_21-05-12.032381193,1526929512.034507372,0.67,0.52,0.35,15199773216,10364967919480,0,22768035,3155,4733,6,307648,4103716,2253,0,10346,101,0,0,12342135,7707080,7317372,7228680,2108,146856
2018-05-21_21-05-12.070354563,1526929512.072446342,7773505201,2018-05-21_21-05-42.113884239,1526929542.116329164,0.59,0.52,0.35,15244643562,10394154635652,0,22828894,3165,4744,6,308545,4114545,2253,0,10363,101,0,0,12379385,7707080,7317088,7228444,2108,146856
2018-05-21_21-05-42.155684971,1526929542.158036165,7706602737,2018-05-21_21-06-12.200603090,1526929572.202795190,0.51,0.50,0.35,15298152228,10423086151014,0,22891669,3174,4754,6,309293,4125468,2253,0,10380,101,0,0,12417686,7707080,7317716,7228396,2108,146856
2018-05-21_21-06-12.238409504,1526929572.240499093,7810097242,2018-05-21_21-06-42.281753726,1526929602.283898868,0.36,0.47,0.35,15351811674,10452406674324,0,22959360,3183,4763,6,309873,4136591,2253,0,10395,102,0,0,12456629,7707080,7317272,7228728,2108,146856
2018-05-21_21-06-42.319457384,1526929602.321544554,7776364375,2018-05-21_21-07-12.363591162,1526929632.365768370,0.47,0.49,0.36,15406194180,10481598041778,0,23018029,3191,4772,6,310637,4147476,2253,0,10416,102,0,0,12495111,7707080,7317544,7228900,2108,146856
2018-05-21_21-07-12.401601216,1526929632.403720796,7801077103,2018-05-21_21-07-42.444860694,1526929662.447066903,0.48,0.49,0.36,15459547626,10510888222656,0,23078959,3201,4783,6,311531,4158282,2253,0,10438,102,0,0,12532109,7707080,7317476,7228636,2108,146856
2018-05-21_21-07-42.482934735,1526929662.485063320,7656664954,2018-05-21_21-08-12.528474300,1526929692.530613946,0.42,0.47,0.36,15510939432,10539636708616,0,23140345,3210,4794,6,312442,4169083,2253,0,10454,102,0,0,12570028,7707080,7317768,7228788,2108,146856
2018-05-21_21-08-12.566922138,1526929692.569116141,7553564192,2018-05-21_21-08-42.611951708,1526929722.614182573,0.43,0.48,0.36,15561587778,10567992892332,0,23199402,3218,4807,6,313129,4180048,2253,0,10471,102,0,0,12608153,7707080,7315968,7227328,2108,146860
2018-05-21_21-08-42.651812077,1526929722.654061773,7789922024,2018-05-21_21-09-12.696577050,1526929752.699026774,0.47,0.48,0.37,15616100184,10597235823284,0,23256085,3227,4815,6,313962,4190824,2253,0,10490,102,0,0,12646799,7707080,7317384,7228548,2108,146864
2018-05-21_21-09-12.738038211,1526929752.740363295,7714698428,2018-05-21_21-09-42.782337295,1526929782.784758348,0.35,0.45,0.36,15669650790,10626197614318,0,23314588,3235,4826,6,314836,4201603,2253,0,10507,102,0,0,12684910,7707080,7317272,7228436,2108,146864
2018-05-21_21-09-42.824042221,1526929782.826421099,7669977228,2018-05-21_21-10-12.869246566,1526929812.871657723,0.29,0.42,0.36,15721606536,10654989132588,0,23374417,3243,4837,6,315496,4212605,2253,0,10522,102,0,0,12723733,7707080,7317188,7228340,2108,146868
2018-05-21_21-10-12.910510681,1526929812.912959515,7596910163,2018-05-21_21-10-42.957958557,1526929842.960251243,0.23,0.40,0.35,15772994442,10683508239352,0,23436430,3252,4846,6,316099,4223692,2253,0,10532,102,0,0,12762160,7707080,7317524,7228700,2108,146868
2018-05-21_21-10-42.997841523,1526929843.000088529,7711907883,2018-05-21_21-11-13.042293955,1526929873.044599688,0.21,0.38,0.34,15825592068,10712460096400,0,23495839,3260,4854,6,316920,4234543,2253,0,10548,102,0,0,12800351,7707080,7317792,7228908,2108,146868
2018-05-21_21-11-13.082693839,1526929873.084937543,7798941579,2018-05-21_21-11-43.126805536,1526929903.129249827,0.19,0.36,0.34,15868626954,10741738241726,0,23557769,3269,4864,6,317780,4245387,2253,0,10564,102,0,0,12838599,7707080,7317620,7229188,2108,146868
2018-05-21_21-11-43.168129892,1526929903.170490335,7162497330,2018-05-21_21-12-13.213863446,1526929933.216238769,0.26,0.35,0.34,15918526800,10768629310994,0,23612942,3278,4873,6,318536,4256330,2253,0,10578,103,0,0,12874346,7707080,7317768,7229140,2108,146868
2018-05-21_21-12-13.255727230,1526929933.258068673,5035741131,2018-05-21_21-12-43.302185353,1526929963.304465203,0.21,0.34,0.33,15953587206,10787534419974,0,23651893,3283,4881,6,319068,4267577,2253,0,10591,103,0,0,12901352,7707080,7317556,7228932,2108,146868
2018-05-21_21-12-43.341917133,1526929963.344164323,5008427162,2018-05-21_21-13-13.386639705,1526929993.388828203,0.32,0.35,0.33,15988507692,10806335503216,0,23689070,3289,4891,6,319587,4278826,2253,0,10606,103,0,0,12928889,7707080,7316092,7227464,2108,146868
