StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQ0,IRQ1,IRQ2,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,CTXT,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-18_14-15-06.577396978,1526645706.579799083,13726879994,2018-05-18_14-15-36.631932807,1526645736.634502835,0.26,0.17,0.07,91453102,51540308324,0,0,0,511,0,2403,57295,2177,0,92,115,0,0,135857,7707080,7353184,7250756,2108,124740
2018-05-18_14-15-36.674905285,1526645736.677328791,14053213049,2018-05-18_14-16-06.720740273,1526645766.723189208,0.44,0.22,0.08,154087528,104305291322,0,0,0,527,0,3540,67721,2177,0,158,217,0,0,188360,7707080,7353576,7251220,2108,124736
2018-05-18_14-16-06.763260240,1526645766.765669609,13159579151,2018-05-18_14-16-36.808076095,1526645796.810514932,0.61,0.28,0.11,239792434,153715884462,0,0,0,542,0,4644,78137,2177,0,232,295,0,0,238598,7707080,7353564,7251560,2108,124736
2018-05-18_14-16-36.850731098,1526645796.853151948,13667264736,2018-05-18_14-17-06.900247152,1526645826.902705537,0.48,0.28,0.12,338453920,205033417282,0,0,0,557,0,5758,88468,2177,0,326,383,0,0,288976,7707080,7353576,7250940,2108,124736
2018-05-18_14-17-06.943660154,1526645826.946110437,13340250430,2018-05-18_14-17-36.990200699,1526645856.992745051,0.34,0.27,0.12,427682386,255121918868,0,0,0,571,0,6877,98851,2177,0,410,477,0,0,338862,7707080,7353584,7251232,2108,124736
2018-05-18_14-17-37.032841854,1526645857.035203005,7663616831,2018-05-18_14-18-07.077248919,1526645887.079555034,0.34,0.27,0.13,478702612,283894608842,0,0,0,587,0,7481,109953,2177,0,428,587,0,0,378452,7707080,7353116,7250940,2108,124736
2018-05-18_14-18-07.116529236,1526645887.118719348,7925892782,2018-05-18_14-18-37.162105265,1526645917.164294701,0.33,0.28,0.13,534796318,313648818148,0,0,0,598,0,8037,121072,2177,0,449,665,0,0,418153,7707080,7353328,7250728,2108,124736
2018-05-18_14-18-37.200944896,1526645917.203114767,7908068070,2018-05-18_14-19-07.245350055,1526645947.247637372,0.25,0.27,0.14,587491684,343337485916,0,0,0,607,0,8623,132188,2177,0,467,772,0,0,457619,7707080,7353240,7250672,2108,124736
2018-05-18_14-19-07.284597172,1526645947.286777905,7932125355,2018-05-18_14-19-37.329090670,1526645977.331295758,0.15,0.24,0.13,643968370,373116369590,0,0,0,617,0,9186,143311,2177,0,486,839,0,0,497096,7707080,7353424,7251104,2108,124736
2018-05-18_14-19-37.367922998,1526645977.370094731,7830809842,2018-05-18_14-20-07.411304419,1526646007.413541433,0.23,0.25,0.14,695148736,402517503666,0,0,0,628,0,9809,154417,2178,0,502,936,0,0,536698,7707080,7353076,7250784,2108,124772
2018-05-18_14-20-07.450397247,1526646007.452597238,7939077017,2018-05-18_14-20-37.495143714,1526646037.497347113,0.14,0.23,0.14,750752422,432323838702,0,0,0,639,0,10408,165508,2178,0,522,1030,0,0,576218,7707080,7353348,7251056,2108,124772
2018-05-18_14-20-37.534347974,1526646037.536520163,7924098778,2018-05-18_14-21-07.580172755,1526646067.582430172,0.15,0.22,0.14,802786168,462072660996,0,0,0,649,0,10985,176628,2178,0,539,1114,0,0,615936,7707080,7353392,7250840,2108,124772
2018-05-18_14-21-07.620074672,1526646067.622289228,7747346038,2018-05-18_14-21-37.668492024,1526646097.670710202,0.09,0.20,0.13,841230994,491159713708,0,0,0,664,0,11622,187787,2178,0,556,1200,0,0,655664,7707080,7353036,7250748,2108,124776
2018-05-18_14-21-37.707317967,1526646097.709508344,7913028417,2018-05-18_14-22-07.750368658,1526646127.752581082,0.11,0.20,0.13,896713300,520868590412,0,0,0,675,0,12254,198872,2178,0,574,1297,0,0,695027,7707080,7353240,7250860,2108,124776
2018-05-18_14-22-07.789361223,1526646127.791602815,7836668483,2018-05-18_14-22-37.834058874,1526646157.836251696,0.13,0.19,0.14,949303066,550293310400,0,0,0,684,0,12886,209966,2178,0,591,1354,0,0,734300,7707080,7353632,7251492,2108,124776
2018-05-18_14-22-37.873371448,1526646157.875541134,7976652948,2018-05-18_14-23-07.917097570,1526646187.919342712,0.22,0.21,0.14,1005780592,580239727212,0,0,0,695,0,13557,220864,2178,0,611,1425,0,0,773529,7707080,7353060,7250968,2108,124776
2018-05-18_14-23-07.956066021,1526646187.958211145,7939892609,2018-05-18_14-23-38.001503305,1526646218.003724138,0.18,0.20,0.14,1058321578,610047666534,0,0,0,706,0,14111,232005,2178,0,626,1498,0,0,812708,7707080,7353292,7250904,2108,124776
