StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQ0,IRQ1,IRQ2,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,CTXT,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-21_18-23-37.297456346,1526919817.299744810,11976409502,2018-05-21_18-24-07.342175007,1526919847.344444386,0.58,0.34,0.19,818793654,710933475078,0,1674601,230,1064,6,23007,625155,2251,0,1058,10,0,0,826418,7707080,7318268,7229432,2108,146552
2018-05-21_18-24-07.381593446,1526919847.383812297,11584308747,2018-05-21_18-24-37.427186413,1526919877.429664031,0.48,0.34,0.19,861657660,754427397188,0,1782025,245,1084,6,24455,635418,2251,0,1128,10,0,0,866466,7707080,7316840,7228012,2108,146556
2018-05-21_18-24-37.470089004,1526919877.472529581,11924501396,2018-05-21_18-25-07.518971603,1526919907.521455967,0.49,0.36,0.20,905686536,799202097566,0,1896214,260,1097,6,25993,645591,2251,0,1208,10,0,0,904888,7707080,7318108,7228888,2108,146556
2018-05-21_18-25-07.562293143,1526919907.564750313,11994254013,2018-05-21_18-25-37.609511165,1526919937.612050126,0.37,0.34,0.20,949703142,844236372020,0,2015164,275,1111,6,27349,655932,2251,0,1275,10,0,0,947288,7707080,7318160,7229084,2108,146556
2018-05-21_18-25-37.653368192,1526919937.655789728,11462849972,2018-05-21_18-26-07.698521461,1526919967.701004928,0.41,0.35,0.21,992116608,887273208688,0,2119516,289,1123,6,28780,666235,2251,0,1327,10,0,0,988520,7707080,7318672,7229620,2108,146556
2018-05-21_18-26-07.741653685,1526919967.744116896,11434772547,2018-05-21_18-26-37.785591690,1526919997.788089128,0.46,0.37,0.22,1033973034,930203243698,0,2222504,303,1138,6,30126,676611,2251,0,1380,10,0,0,1029887,7707080,7318416,7229540,2108,146556
2018-05-21_18-26-37.829012117,1526919997.831429416,11569422019,2018-05-21_18-27-07.873672771,1526920027.876186777,0.68,0.43,0.25,1076658300,973642254736,0,2337080,317,1153,6,31609,686862,2251,0,1446,10,0,0,1069728,7707080,7318100,7229272,2108,146556
2018-05-21_18-27-07.917063465,1526920027.919542032,12016210493,2018-05-21_18-27-37.962199994,1526920057.964532188,0.54,0.42,0.25,1120910646,1018757358372,0,2450904,333,1171,6,33229,696957,2251,0,1530,10,0,0,1106516,7707080,7318040,7229212,2108,146556
2018-05-21_18-27-38.002518404,1526920058.004754283,11726673741,2018-05-21_18-28-08.047608596,1526920088.049970725,0.39,0.39,0.25,1157773812,1062787378456,0,2562661,347,1185,6,34638,707307,2251,0,1586,10,0,0,1148261,7707080,7318388,7229100,2108,146556
2018-05-21_18-28-08.087862044,1526920088.090105970,11070093785,2018-05-21_18-28-38.134807728,1526920118.137366190,0.42,0.40,0.25,1201175034,1104349363390,0,2663299,361,1201,6,35921,717743,2251,0,1634,11,0,0,1191384,7707080,7317852,7228820,2108,146556
2018-05-21_18-28-38.178145778,1526920118.180559033,11245777903,2018-05-21_18-29-08.222169723,1526920148.224529853,0.38,0.40,0.25,1251425280,1146571772082,0,2773278,375,1214,6,37219,728148,2251,0,1692,11,0,0,1233806,7707080,7318460,7229352,2108,146556
2018-05-21_18-29-08.262196898,1526920148.264407078,9992271435,2018-05-21_18-29-38.308516831,1526920178.310895405,0.36,0.39,0.26,1287992106,1184089839910,0,2868930,388,1226,6,38426,738688,2251,0,1729,11,0,0,1275390,7707080,7318128,7229312,2108,146556
2018-05-21_18-29-38.349914165,1526920178.352269285,9057119938,2018-05-21_18-30-08.397858965,1526920208.400344299,0.28,0.37,0.25,1323283872,1218094286128,0,2955609,399,1240,6,39472,749395,2251,0,1756,11,0,0,1316227,7707080,7318048,7229028,2108,146564
