StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQ0,IRQ1,IRQ2,IRQ3,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-22_09-36-44.704640795,1526974604.707229324,36.558840,2018-05-22_09-37-14.957278656,1526974634.960040762,0.55,0.78,0.88,1474712228,2015641207050,6811681,2110832,2448080,19611493617679,6,55854,11368938,1796,0,11300,96,0,0,7707080,7211112,7123976,2108,158224
2018-05-22_09-37-15.005209807,1526974635.007904642,36.558848,2018-05-22_09-37-45.256348598,1526974665.259141766,0.73,0.80,0.88,1474713372,2015641208382,6811701,2110832,2448080,19611493620693,6,55868,11378009,1796,0,11300,96,0,0,7707080,7210760,7123824,2108,158228
2018-05-22_09-37-45.305761444,1526974665.308535496,36.558790,2018-05-22_09-38-15.567304008,1526974695.570485231,0.84,0.82,0.88,1474714516,2015641209654,6811718,2110832,2448080,19611493623701,6,55876,11387099,1796,0,11300,96,0,0,7707080,7211160,7124028,2108,158228
2018-05-22_09-38-15.619237478,1526974695.622098869,36.562003,2018-05-22_09-38-45.877742503,1526974725.880679954,0.90,0.84,0.89,1474715660,2015641210986,6811730,2110843,2448080,19611493626721,6,55883,11396189,1796,0,11300,96,0,0,7707080,7211552,7124516,2108,158228
2018-05-22_09-38-45.928977179,1526974725.932947396,36.483380,2018-05-22_09-39-16.185842236,1526974756.188717339,0.94,0.85,0.89,1474716804,2015641212318,6811742,2110843,2448091,19611493629733,6,55891,11405277,1796,0,11300,96,0,0,7707080,7211288,7124088,2108,158228
2018-05-22_09-39-16.237147955,1526974756.240329617,36.562047,2018-05-22_09-39-46.491791213,1526974786.494732708,0.96,0.87,0.89,1474717948,2015641213650,6811754,2110843,2448091,19611603632747,6,55897,11414365,1796,0,11300,96,0,0,7707080,7211580,7124448,2108,158228
2018-05-22_09-39-46.541519916,1526974786.544334968,36.562122,2018-05-22_09-40-16.791848661,1526974816.795303146,0.98,0.88,0.90,1474719092,2015641214982,6811766,2110854,2448091,19611603635770,6,55909,11423443,1796,0,11300,96,0,0,7707080,7211036,7123908,2108,158236
2018-05-22_09-40-16.841438893,1526974816.844231285,36.558853,2018-05-22_09-40-47.092341919,1526974847.095351822,0.99,0.89,0.90,1474720236,2015641216314,6811785,2110854,2448091,19611603638791,6,55915,11432530,1796,0,11300,96,0,0,7707080,7211364,7124432,2108,158236
2018-05-22_09-40-47.142468778,1526974847.145299620,36.529078,2018-05-22_09-41-17.397565552,1526974877.400631430,0.99,0.90,0.90,1474721380,2015641217586,6811797,2110857,2448099,19611713641818,6,55935,11441594,1796,0,11300,96,0,0,7707080,7196972,7110048,2108,158248
2018-05-22_09-41-17.448508093,1526974877.451324313,36.516154,2018-05-22_09-41-47.702499734,1526974907.705265646,1.00,0.91,0.91,1474722524,2015641218918,6811812,2110863,2448109,19611733644837,6,55948,11450673,1796,0,11301,96,0,0,7707080,7197828,7110852,2108,158248
2018-05-22_09-41-47.751741092,1526974907.754412670,36.562119,2018-05-22_09-42-18.006469952,1526974938.009648740,1.00,0.92,0.91,1474723668,2015641220250,6811830,2110865,2448119,19611763647859,6,55956,11459760,1796,0,11301,96,0,0,7707080,7198448,7111472,2108,158248
2018-05-22_09-42-18.057085792,1526974938.060007706,36.558826,2018-05-22_09-42-48.309119604,1526974968.312142924,1.00,0.93,0.91,1474724812,2015641221582,6811849,2110865,2448122,19611963650872,6,55968,11468839,1796,0,11301,96,0,0,7707080,7197892,7110976,2108,158252
