StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQconfig,IRQinput,IRQoutput,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-10_19-35-50.240572481,1525973750.243162705,36.568648,2018-05-10_19-36-20.488068515,1525973780.490669608,0.91,0.89,0.65,76426524,175195395348,,,,542860,106,14639,32788705,1764,0,61,850,0,0,7707080,7148852,7101236,2108,216452
2018-05-10_19-36-20.531269789,1525973780.533802561,36.568628,2018-05-10_19-36-50.778925738,1525973810.781452724,0.95,0.90,0.67,76427668,175195396680,,,,545890,106,14658,32797763,1764,0,61,850,0,0,7707080,7147840,7100352,2108,216460
2018-05-10_19-36-50.822095641,1525973810.824752827,36.558817,2018-05-10_19-37-21.071835755,1525973841.074493436,0.97,0.91,0.68,76428812,175195398012,,,,548917,106,14668,32806838,1764,0,61,850,0,0,7707080,7148128,7100456,2108,216460
2018-05-10_19-37-21.113478258,1525973841.116001678,36.561780,2018-05-10_19-37-51.388668309,1525973871.393222638,0.98,0.92,0.69,76429956,175195399284,,,,551936,106,14679,32815926,1764,0,61,850,0,0,7707080,7148220,7100812,2108,216464
2018-05-10_19-37-51.439357927,1525973871.442081951,36.555535,2018-05-10_19-38-21.693934963,1525973901.696821838,0.99,0.93,0.70,76431100,175195400616,,,,554955,106,14689,32825008,1764,0,61,850,0,0,7707080,7161012,7113172,2108,216456
2018-05-10_19-38-21.735881444,1525973901.738410958,36.499787,2018-05-10_19-38-51.985166780,1525973931.987819768,0.99,0.93,0.71,76432244,175195401948,,,,557972,106,14696,32834092,1764,0,61,850,0,0,7707080,7160516,7113104,2108,216456
2018-05-10_19-38-52.027300744,1525973932.029788965,36.562093,2018-05-10_19-39-22.275924749,1525973962.278523641,1.00,0.94,0.71,76433388,175195403280,,,,560993,106,14701,32843176,1764,0,62,850,0,0,7707080,7161252,7113840,2108,216456
2018-05-10_19-39-22.317655648,1525973962.320195543,36.562095,2018-05-10_19-39-52.568667427,1525973992.571386342,1.08,0.96,0.73,76434532,175195404612,,,,564015,106,14707,32852262,1764,0,62,850,0,0,7707080,7160816,7113404,2108,216456
2018-05-10_19-39-52.610835283,1525973992.613346011,36.538780,2018-05-10_19-40-22.912345923,1525974022.916196587,1.10,0.98,0.74,76435676,175195405884,,,,567044,106,14729,32861342,1764,0,62,851,0,0,7707080,7160308,7113296,2108,216460
2018-05-10_19-40-22.964157263,1525974022.967404367,36.548964,2018-05-10_19-40-53.219619219,1525974053.222262718,1.06,0.98,0.75,76436820,175195407216,,,,570075,106,14750,32870405,1764,0,62,852,0,0,7707080,7160952,7113552,2108,216464
2018-05-10_19-40-53.267439242,1525974053.269982125,36.555543,2018-05-10_19-41-23.515693475,1525974083.518268733,1.04,0.99,0.76,76437964,175195408548,,,,573097,106,14755,32879489,1764,0,62,852,0,0,7707080,7161224,7113824,2108,216464
2018-05-10_19-41-23.557024650,1525974083.559517876,36.503060,2018-05-10_19-41-53.806311128,1525974113.809042328,1.02,0.99,0.77,76439108,175195409880,,,,576113,106,14761,32888574,1764,0,62,853,0,0,7707080,7161916,7114912,2108,216468
2018-05-10_19-41-53.848027628,1525974113.850554046,36.558792,2018-05-10_19-42-24.097323655,1525974144.099872081,1.01,0.99,0.78,76440252,175195411212,,,,579134,106,14767,32897658,1764,0,62,853,0,0,7707080,7161592,7114392,2108,216468
2018-05-10_19-42-24.141173094,1525974144.143809491,36.562097,2018-05-10_19-42-54.391894437,1525974174.394623089,1.01,0.99,0.78,76441396,175195412544,,,,582156,106,14773,32906743,1764,0,62,853,0,0,7707080,7161608,7114212,2108,216468
2018-05-10_19-42-54.435925365,1525974174.438383901,36.552175,2018-05-10_19-43-24.713593500,1525974204.717358249,1.00,0.99,0.79,76442540,175195413876,,,,585182,106,14791,32915821,1764,0,63,853,0,0,7707080,7148528,7100880,2108,216476
2018-05-10_19-43-24.766007833,1525974204.768695437,36.552239,2018-05-10_19-43-55.019942289,1525974235.022771342,1.00,0.99,0.79,76443684,175195415208,,,,588208,106,14810,32924889,1764,0,63,853,0,0,7707080,7147868,7100224,2108,216480
2018-05-10_19-43-55.068513223,1525974235.071139368,36.562066,2018-05-10_19-44-25.317402209,1525974265.320190883,0.92,0.97,0.79,76444828,175195416540,,,,591229,106,14817,32933976,1764,0,63,854,0,0,7707080,7148196,7100560,2108,216480
2018-05-10_19-44-25.377171412,1525974265.379767846,36.529299,2018-05-10_19-44-55.626785208,1525974295.629463366,0.88,0.96,0.80,76445972,175195417872,,,,594256,106,14836,32943037,1764,0,63,855,0,0,7707080,7147016,7099632,2108,216484
2018-05-10_19-44-55.670666337,1525974295.673209438,36.562085,2018-05-10_19-45-25.919228094,1525974325.921858592,0.93,0.96,0.80,76447116,175195419204,,,,597283,106,14846,32952111,1764,0,63,855,0,0,7707080,7148456,7100656,2108,216488
2018-05-10_19-45-25.960917839,1525974325.963477591,36.558816,2018-05-10_19-45-56.212213240,1525974356.214989498,0.96,0.96,0.81,76448260,175195420536,,,,600304,106,14851,32961196,1764,0,63,855,0,0,7707080,7148184,7100796,2108,216488
2018-05-10_19-45-56.254506475,1525974356.257017563,36.552256,2018-05-10_19-46-26.531665217,1525974386.535347150,0.97,0.96,0.81,76449404,175195421808,,,,603326,106,14863,32970283,1764,0,63,855,0,0,7707080,7160780,7113244,2108,216484
2018-05-10_19-46-26.585321386,1525974386.588038340,36.545685,2018-05-10_19-46-56.839800422,1525974416.842393091,0.98,0.97,0.82,76450548,175195423140,,,,606346,106,14874,32979366,1764,0,63,856,0,0,7707080,7161968,7114580,2108,216484
2018-05-10_19-46-56.883184733,1525974416.885787623,36.486719,2018-05-10_19-47-27.132943891,1525974447.135664634,0.99,0.97,0.83,76451692,175195424472,,,,609362,106,14880,32988451,1764,0,63,856,0,0,7707080,7162532,7115144,2108,216484
2018-05-10_19-47-27.175789406,1525974447.178340140,36.562086,2018-05-10_19-47-57.425230036,1525974477.427848857,0.99,0.97,0.83,76452836,175195425804,,,,612384,106,14890,32997531,1764,0,64,856,0,0,7707080,7161364,7113712,2108,216484
2018-05-10_19-47-57.468354937,1525974477.470966365,36.558819,2018-05-10_19-48-27.718096291,1525974507.720690151,1.00,0.98,0.84,76453980,175195427136,,,,615405,106,14895,33006616,1764,0,64,856,0,0,7707080,7161444,7113972,2108,216484
