StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQ0,IRQ1,IRQ2,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,CTXT,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-21_19-25-23.679960837,1526923523.682173176,10632722029,2018-05-21_19-25-53.725067677,1526923553.727336681,0.27,0.40,0.39,5651092566,5075768908450,0,11237121,1532,2685,6,149538,1941718,2251,0,4974,62,0,0,5838070,7707080,7316244,7227488,2108,146664
2018-05-21_19-25-53.765143713,1526923553.767370345,10298464353,2018-05-21_19-26-23.808794114,1526923583.811073002,0.42,0.42,0.40,5719212852,5114430016010,0,11323127,1543,2703,6,150372,1952510,2251,0,5008,65,0,0,5885723,7707080,7315836,7227048,2108,146664
2018-05-21_19-26-23.848638855,1526923583.850912791,10206152026,2018-05-21_19-26-53.894041664,1526923613.896578219,0.45,0.43,0.41,5786894718,5152745203276,0,11409648,1555,2724,6,151232,1963286,2251,0,5040,69,0,0,5932645,7707080,7316520,7227568,2108,146664
2018-05-21_19-26-53.937503155,1526923613.940006726,10314232324,2018-05-21_19-27-23.983054327,1526923643.985389511,0.48,0.44,0.41,5855593944,5191464273436,0,11500134,1566,2746,6,152052,1974067,2251,0,5074,72,0,0,5980226,7707080,7317664,7228908,2108,146664
2018-05-21_19-27-24.022658155,1526923644.024913508,10583793073,2018-05-21_19-27-54.069523088,1526923674.071773729,0.47,0.44,0.41,5925534030,5231198022468,0,11588581,1578,2761,6,153187,1984577,2251,0,5127,73,0,0,6022786,7707080,7318252,7229300,2108,146664
2018-05-21_19-27-54.109220671,1526923674.111448274,10399735036,2018-05-21_19-28-24.153627919,1526923704.155926250,0.41,0.43,0.41,5997506916,5270240337852,0,11676403,1590,2775,6,154517,1994918,2251,0,5197,73,0,0,6059985,7707080,7317872,7228916,2108,146664
2018-05-21_19-28-24.196919098,1526923704.199408288,8077941215,2018-05-21_19-28-54.242574302,1526923734.245112223,0.52,0.45,0.42,6041770482,5300562810894,0,11742173,1599,2790,6,155426,2005712,2251,0,5227,74,0,0,6096221,7707080,7314516,7225568,2108,146660
2018-05-21_19-28-54.286144582,1526923734.288432908,7139093258,2018-05-21_19-29-24.332192999,1526923764.334605146,0.38,0.43,0.41,6091453068,5327365100868,0,11801802,1607,2799,6,156259,2016605,2251,0,5247,74,0,0,6130486,7707080,7317720,7228968,2108,146660
2018-05-21_19-29-24.373067613,1526923764.375284168,7124501372,2018-05-21_19-29-54.418901787,1526923794.421446147,0.29,0.40,0.40,6140690814,5354107230082,0,11852403,1613,2808,6,157017,2027492,2251,0,5270,74,0,0,6164252,7707080,7317676,7228728,2108,146660
2018-05-21_19-29-54.461886183,1526923794.464290995,7023104412,2018-05-21_19-30-24.506107082,1526923824.508399075,0.38,0.41,0.40,6187309020,5380472337266,0,11908334,1621,2818,6,157875,2038380,2251,0,5287,74,0,0,6198300,7707080,7318064,7229048,2108,146668
2018-05-21_19-30-24.548114987,1526923824.550345874,7169920521,2018-05-21_19-30-54.593893242,1526923854.596138931,0.36,0.40,0.40,6235194306,5407389496384,0,11968543,1629,2827,6,158772,2049227,2251,0,5306,75,0,0,6232133,7707080,7318168,7229380,2108,146668
2018-05-21_19-30-54.633242647,1526923854.635461376,7117068682,2018-05-21_19-31-24.677084761,1526923884.679340308,0.36,0.40,0.40,6285045792,5434104188790,0,12024829,1637,2836,6,159462,2060234,2251,0,5323,75,0,0,6267023,7707080,7318572,7229372,2108,146668
2018-05-21_19-31-24.716744713,1526923884.718943420,7332447302,2018-05-21_19-31-54.763158340,1526923914.765799611,0.42,0.41,0.41,6336086418,5461626058294,0,12077852,1644,2846,6,160216,2071156,2251,0,5343,75,0,0,6301629,7707080,7318216,7229428,2108,146668
2018-05-21_19-31-54.806756543,1526923914.809269952,7079050838,2018-05-21_19-32-24.852863825,1526923944.855143209,0.36,0.39,0.40,6383385024,5488201500456,0,12135172,1651,2855,6,161050,2082038,2251,0,5363,75,0,0,6335288,7707080,7318028,7229040,2108,146672
2018-05-21_19-32-24.892538743,1526923944.894778945,7102741303,2018-05-21_19-32-54.938090303,1526923974.940571425,0.29,0.37,0.40,6430871850,5514864960470,0,12192142,1659,2865,6,161891,2092907,2251,0,5383,75,0,0,6368863,7707080,7318408,7229560,2108,146672
2018-05-21_19-32-54.979963630,1526923974.982282321,7195641686,2018-05-21_19-33-25.024896169,1526924005.027394298,0.36,0.38,0.40,6478716816,5541875380180,0,12247505,1666,2879,6,162667,2103819,2251,0,5402,76,0,0,6403720,7707080,7318232,7229180,2108,146672
2018-05-21_19-33-25.068011347,1526924005.070464293,6945610410,2018-05-21_19-33-55.114465666,1526924035.116840340,0.29,0.36,0.40,6524818062,5567950777164,0,12301769,1674,2888,6,163521,2114700,2251,0,5419,76,0,0,6437166,7707080,7318192,7229248,2108,146672
2018-05-21_19-33-55.155833340,1526924035.158113055,7101969526,2018-05-21_19-34-25.202835487,1526924065.205304132,0.53,0.42,0.41,6574330248,5594609892720,0,12357138,1681,2897,6,164261,2125648,2251,0,5437,76,0,0,6471322,7707080,7318168,7229028,2108,146672
2018-05-21_19-34-25.245015191,1526924065.247357865,7120596620,2018-05-21_19-34-55.289240781,1526924095.291535453,0.32,0.38,0.40,6613588134,5621339138500,0,12413785,1689,2907,6,165075,2136565,2251,0,5453,76,0,0,6505253,7707080,7318444,7229500,2108,146672
