StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQ0,IRQ1,IRQ2,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,CTXT,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-21_20-09-42.816158081,1526926182.818373493,11895901306,2018-05-21_20-10-12.863662604,1526926212.866284734,0.10,0.13,0.21,9400865442,7198102519968,0,15801352,2135,3547,6,210630,2918781,2253,0,6678,87,0,0,8587468,7707080,7317484,7228608,2108,146776
2018-05-21_20-10-12.906372657,1526926212.908842966,12107479825,2018-05-21_20-10-42.950782245,1526926242.953007115,0.32,0.18,0.22,9486779148,7243562072792,0,15914003,2151,3562,6,212229,2928807,2253,0,6787,87,0,0,8622255,7707080,7317572,7228696,2108,146776
2018-05-21_20-10-42.989895149,1526926242.992093657,12112129144,2018-05-21_20-11-13.039152938,1526926273.041682733,0.39,0.21,0.23,9573399654,7289047700422,0,16024741,2167,3578,6,214002,2938659,2253,0,6938,87,0,0,8651981,7707080,7317992,7229020,2108,146776
2018-05-21_20-11-13.082143997,1526926273.084519845,11918742326,2018-05-21_20-11-43.127852743,1526926303.130140243,0.50,0.25,0.24,9658374240,7333798719664,0,16131503,2182,3590,6,215447,2948844,2253,0,7035,88,0,0,8690230,7707080,7317684,7228724,2108,146776
2018-05-21_20-11-43.168063245,1526926303.170305580,12255500965,2018-05-21_20-12-13.212066976,1526926333.214304602,0.57,0.29,0.26,9732869526,7379814489240,0,16236281,2198,3608,6,217026,2958919,2253,0,7140,88,0,0,8727060,7707080,7316484,7227576,2108,146780
2018-05-21_20-12-13.251298478,1526926333.253497625,12386541858,2018-05-21_20-12-43.297618459,1526926363.299993410,0.41,0.28,0.25,9820303452,7426322792088,0,16348841,2214,3623,6,218663,2968909,2253,0,7260,88,0,0,8762102,7707080,7317540,7229060,2108,146780
2018-05-21_20-12-43.338939840,1526926363.341266876,12120091283,2018-05-21_20-13-13.384486363,1526926393.386848443,0.45,0.30,0.26,9906845478,7471831803078,0,16460632,2230,3638,6,220348,2978866,2253,0,7372,88,0,0,8795213,7707080,7317744,7228584,2108,146780
2018-05-21_20-13-13.425654717,1526926393.427963227,11812006918,2018-05-21_20-13-43.470741346,1526926423.472975122,0.49,0.32,0.27,9991907064,7516184493124,0,16565103,2246,3652,6,221703,2989134,2253,0,7452,88,0,0,8835477,7707080,7317432,7228496,2108,146780
2018-05-21_20-13-43.510092770,1526926423.512294488,12032009616,2018-05-21_20-14-13.554034252,1526926453.556274646,0.43,0.32,0.27,10078496130,7561361271116,0,16676560,2261,3664,6,223239,2999221,2253,0,7559,88,0,0,8871669,7707080,7317324,7228648,2108,146780
2018-05-21_20-14-13.593416212,1526926453.595596540,12333468591,2018-05-21_20-14-43.640154379,1526926483.642499888,0.59,0.37,0.29,10167441216,7607670313662,0,16782560,2277,3679,6,224911,3009153,2253,0,7704,88,0,0,8905050,7707080,7317672,7228592,2108,146780
2018-05-21_20-14-43.680385566,1526926483.682602504,12151562751,2018-05-21_20-15-13.725664818,1526926513.728054637,0.36,0.34,0.28,10239805962,7653295989060,0,16888583,2293,3695,6,226255,3019469,2253,0,7779,88,0,0,8946864,7707080,7317828,7229348,2108,146780
2018-05-21_20-15-13.766762580,1526926513.769076126,12215849254,2018-05-21_20-15-43.810979471,1526926543.813196978,0.55,0.38,0.30,10327250568,7699162192120,0,16993609,2309,3708,6,227813,3029530,2253,0,7893,88,0,0,8983451,7707080,7318000,7228980,2108,146780
2018-05-21_20-15-43.850373504,1526926543.852593989,7662772668,2018-05-21_20-16-13.894283359,1526926573.896641506,0.44,0.38,0.30,10382138874,7727933164568,0,17060419,2319,3718,6,228732,3040320,2253,0,7922,88,0,0,9018976,7707080,7317420,7228744,2108,146780
2018-05-21_20-16-13.935102793,1526926573.937405234,7014855225,2018-05-21_20-16-43.978713580,1526926603.980938768,0.32,0.36,0.30,10431478020,7754266393168,0,17116012,2327,3729,6,229428,3051251,2253,0,7945,89,0,0,9053943,7707080,7316836,7227964,2108,146780
2018-05-21_20-16-44.017925229,1526926604.020126219,6995135256,2018-05-21_20-17-14.062993670,1526926634.065217814,0.33,0.35,0.30,10480888266,7780526841342,0,17170435,2334,3739,6,230174,3062182,2253,0,7973,89,0,0,9088338,7707080,7317580,7228904,2108,146780
2018-05-21_20-17-14.102497588,1526926634.104693701,6933838858,2018-05-21_20-17-44.149043599,1526926664.151743743,0.33,0.35,0.30,10523646072,7806561636326,0,17228183,2343,3748,6,230975,3073141,2253,0,7990,89,0,0,9122473,7707080,7317764,7228892,2108,146780
2018-05-21_20-17-44.191782908,1526926664.194127304,7084560629,2018-05-21_20-18-14.235530131,1526926694.238031172,0.33,0.35,0.30,10571729718,7833155254366,0,17283504,2351,3758,6,231618,3084154,2253,0,8010,89,0,0,9157198,7707080,7317896,7229024,2108,146784
2018-05-21_20-18-14.278521206,1526926694.280987643,7009142255,2018-05-21_20-18-44.323055594,1526926724.325567653,0.47,0.38,0.31,10621218504,7859469269844,0,17339679,2359,3767,6,232406,3095035,2253,0,8026,89,0,0,9191685,7707080,7317572,7228568,2108,146784
2018-05-21_20-18-44.366233177,1526926724.368654295,6910531133,2018-05-21_20-19-14.411834556,1526926754.414120214,0.37,0.36,0.31,10670017830,7885416235604,0,17397284,2368,3777,6,233188,3105974,2253,0,8045,89,0,0,9225924,7707080,7317892,7229020,2108,146784
2018-05-21_20-19-14.451105902,1526926754.453294998,6953690284,2018-05-21_20-19-44.495921856,1526926784.498436090,0.41,0.37,0.32,10719259176,7911522675330,0,17454482,2376,3786,6,233917,3116949,2253,0,8067,89,0,0,9260296,7707080,7317564,7228888,2108,146784
2018-05-21_20-19-44.538769813,1526926784.541173677,6907924144,2018-05-21_20-20-14.582374879,1526926814.584660552,0.58,0.42,0.33,10768140042,7937456510392,0,17511647,2384,3798,6,234660,3127909,2253,0,8086,90,0,0,9294972,7707080,7317920,7229052,2108,146788
2018-05-21_20-20-14.621667074,1526926814.623883125,6962344406,2018-05-21_20-20-44.669752245,1526926844.672077834,0.40,0.39,0.33,10816928808,7963594320652,0,17567340,2392,3818,6,235448,3138734,2253,0,8109,90,0,0,9329427,7707080,7309096,7220424,2108,146788
2018-05-21_20-20-44.709781742,1526926844.712008408,7031538508,2018-05-21_20-21-14.756393724,1526926874.758680385,0.30,0.37,0.32,10865788734,7989991287256,0,17625873,2400,3830,6,236163,3149707,2253,0,8131,91,0,0,9364597,7707080,7313680,7224960,2108,146788
2018-05-21_20-21-14.799134778,1526926874.801534515,6577613412,2018-05-21_20-21-44.843296073,1526926904.845659817,0.18,0.34,0.31,10912439400,8014685330960,0,17680214,2408,3851,6,236851,3160718,2253,0,8151,91,0,0,9398087,7707080,7309380,7220656,2108,146788
2018-05-21_20-21-44.885031402,1526926904.887387073,7184324656,2018-05-21_20-22-14.929723565,1526926934.932143091,0.31,0.35,0.32,10962685866,8041659621430,0,17742873,2417,3862,6,237557,3171731,2253,0,8169,91,0,0,9432660,7707080,7309396,7220260,2108,146788
2018-05-21_20-22-14.971322802,1526926934.973608058,6933297941,2018-05-21_20-22-45.017948023,1526926965.020385252,0.32,0.35,0.32,11012359632,8067691061996,0,17797279,2426,3872,6,238435,3182518,2253,0,8191,91,0,0,9466834,7707080,7309336,7220168,2108,146792
2018-05-21_20-22-45.058866801,1526926965.061091673,6937403893,2018-05-21_20-23-15.102022642,1526926995.104286571,0.19,0.32,0.31,11061817338,8093738419372,0,17855323,2435,3880,6,239288,3193410,2253,0,8209,91,0,0,9500996,7707080,7309032,7220544,2108,146792
2018-05-21_20-23-15.141294018,1526926995.143520678,6903819037,2018-05-21_20-23-45.186845852,1526927025.189258012,0.12,0.29,0.30,11099664984,8119654887004,0,17909852,2442,3889,6,240041,3204385,2253,0,8226,91,0,0,9535073,7707080,7309520,7220640,2108,146792
2018-05-21_20-23-45.228615133,1526927025.231067924,7004339326,2018-05-21_20-24-15.274640613,1526927055.277243603,0.14,0.27,0.30,11148704610,8145946719578,0,17966651,2449,3898,6,240630,3215446,2253,0,8246,91,0,0,9570021,7707080,7309980,7221068,2108,146792
2018-05-21_20-24-15.318156063,1526927055.320572166,6991860864,2018-05-21_20-24-45.364992713,1526927085.367519208,0.37,0.31,0.31,11198286516,8172198199764,0,18020765,2458,3907,6,241464,3226285,2253,0,8268,91,0,0,9604361,7707080,7309776,7220748,2108,146792
2018-05-21_20-24-45.407562126,1526927085.409956845,6895147874,2018-05-21_20-25-15.454683861,1526927115.457138632,0.53,0.36,0.33,11237448582,8198084815956,0,18080774,2466,3917,6,242213,3237266,2253,0,8285,91,0,0,9638462,7707080,7309944,7220628,2108,146792
2018-05-21_20-25-15.497372053,1526927115.499832992,6798345551,2018-05-21_20-25-45.541715476,1526927145.544027461,0.50,0.37,0.33,11286150048,8223606738318,0,18138745,2473,3927,6,242963,3248186,2253,0,8306,91,0,0,9672171,7707080,7310008,7220656,2108,146792
2018-05-21_20-25-45.581374063,1526927145.583596814,6930921419,2018-05-21_20-26-15.628440541,1526927175.630812231,0.45,0.37,0.33,11335584594,8249629463492,0,18197643,2482,3939,6,243809,3259060,2253,0,8325,92,0,0,9706804,7707080,7309060,7220224,2108,146800
2018-05-21_20-26-15.669635985,1526927175.671979051,7054928157,2018-05-21_20-26-45.714395862,1526927205.716773445,0.35,0.35,0.32,11385527460,8276117163700,0,18255523,2491,3948,6,244622,3269946,2253,0,8346,92,0,0,9741233,7707080,7309552,7220824,2108,146800
2018-05-21_20-26-45.755803312,1526927205.758213550,6782866821,2018-05-21_20-27-15.801928525,1526927235.804397009,0.34,0.35,0.32,11433864486,8301580949964,0,18315565,2499,3956,6,245309,3280962,2253,0,8365,92,0,0,9775218,7707080,7309236,7219956,2108,146800
2018-05-21_20-27-15.843853451,1526927235.846285374,6775970670,2018-05-21_20-27-45.888087818,1526927265.890313787,0.36,0.35,0.32,11481577692,8327022243376,0,18371651,2507,3965,6,246155,3291839,2253,0,8388,92,0,0,9808845,7707080,7308924,7220196,2108,146800
2018-05-21_20-27-45.927572747,1526927265.929785417,6984354151,2018-05-21_20-28-15.971445165,1526927295.973925495,0.22,0.31,0.31,11530484358,8353243293004,0,18428639,2516,3974,6,246940,3302767,2253,0,8406,92,0,0,9843463,7707080,7316808,7227932,2108,146796
2018-05-21_20-28-16.014124680,1526927296.016591949,6994694295,2018-05-21_20-28-46.058980639,1526927326.061257211,0.32,0.33,0.32,11579805144,8379504250200,0,18483966,2524,3983,6,247729,3313672,2253,0,8424,92,0,0,9877985,7707080,7316616,7227936,2108,146796
2018-05-21_20-28-46.098336611,1526927326.100553765,6991397241,2018-05-21_20-29-16.142336271,1526927356.144635630,0.19,0.30,0.31,11620439550,8405752126144,0,18540355,2533,3992,6,248533,3324592,2253,0,8441,92,0,0,9912607,7707080,7317140,7228264,2108,146796
2018-05-21_20-29-16.183793560,1526927356.186226854,6997924974,2018-05-21_20-29-46.230224208,1526927386.232767592,0.19,0.29,0.31,11670360456,8432021666038,0,18595019,2540,4002,6,249268,3335523,2253,0,8466,92,0,0,9947048,7707080,7317268,7228168,2108,146796
2018-05-21_20-29-46.273177450,1526927386.275548759,6966449981,2018-05-21_20-30-16.323380499,1526927416.325920211,0.11,0.26,0.30,11718697302,8458175305718,0,18653185,2548,4016,6,250019,3346428,2253,0,8487,92,0,0,9981953,7707080,7316792,7227916,2108,146800
2018-05-21_20-30-16.365295634,1526927416.367564499,6961540267,2018-05-21_20-30-46.412872179,1526927446.415362123,0.07,0.24,0.29,11767625328,8484311592304,0,18709676,2556,4024,6,250824,3357290,2253,0,8508,92,0,0,10016157,7707080,7317664,7228448,2108,146800
2018-05-21_20-30-46.453912028,1526927446.456180328,6921722366,2018-05-21_20-31-16.498796617,1526927476.501034573,0.04,0.21,0.28,11817074574,8510299227552,0,18764381,2564,4033,6,251648,3368172,2253,0,8528,93,0,0,10050372,7707080,7317464,7228588,2108,146800
2018-05-21_20-31-16.538201297,1526927476.540401009,7054864986,2018-05-21_20-31-46.581776667,1526927506.584026229,0.17,0.23,0.28,11866258320,8536783355700,0,18817632,2572,4042,6,252385,3379110,2253,0,8547,93,0,0,10085039,7707080,7317452,7228516,2108,146800
