StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQconfig,IRQinput,IRQoutput,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-15_20-08-46.431105869,1526407726.434692280,25102064178,2018-05-15_20-09-16.495655256,1526407756.498807052,0.38,0.49,0.33,,,,,,1482,0,29422,333958,1834,0,5732,41,0,0,7707080,7254908,7163380,2108,146000
2018-05-15_20-09-16.555646872,1526407756.559821752,25158583049,2018-05-15_20-09-46.618592685,1526407786.621816596,0.70,0.56,0.36,,,,,,1525,0,31552,343006,1834,0,5929,42,0,0,7707080,7241784,7150064,2108,146008
2018-05-15_20-09-46.668296469,1526407786.671625031,24941831624,2018-05-15_20-10-16.724138716,1526407816.726831881,0.75,0.58,0.37,,,,,,1567,0,33609,351733,1834,0,6205,44,0,0,7707080,7241960,7150268,2108,146020
2018-05-15_20-10-16.771814869,1526407816.775549638,16793339954,2018-05-15_20-10-46.832861687,1526407846.835759141,0.99,0.66,0.40,,,,,,1607,0,35655,360741,1834,0,7130,45,0,0,7707080,7242444,7150948,2108,146020
2018-05-15_20-10-46.880687580,1526407846.883229555,24954788334,2018-05-15_20-11-16.934359482,1526407876.937089031,0.88,0.66,0.41,,,,,,1643,0,37717,369555,1834,0,7397,46,0,0,7707080,7241860,7150092,2108,146024
2018-05-15_20-11-16.986422453,1526407876.989157057,24908794605,2018-05-15_20-11-47.045577404,1526407907.048573140,0.82,0.66,0.42,,,,,,1674,0,39753,378381,1834,0,7652,47,0,0,7707080,7241792,7150500,2108,146024
2018-05-15_20-11-47.096945779,1526407907.100007448,16609339792,2018-05-15_20-12-17.158150405,1526407937.161432274,0.95,0.71,0.44,,,,,,1714,0,41820,387380,1834,0,8564,47,0,0,7707080,7241552,7150064,2108,146024
2018-05-15_20-12-17.203964331,1526407937.206858458,24906567548,2018-05-15_20-12-47.265734480,1526407967.268725133,0.91,0.72,0.45,,,,,,1749,0,43864,396126,1834,0,8826,47,0,0,7707080,7253976,7162536,2108,146020
2018-05-15_20-12-47.328060517,1526407967.331020752,25040611818,2018-05-15_20-13-17.379182139,1526407997.381804356,0.81,0.71,0.46,,,,,,1779,0,45949,404918,1834,0,9098,48,0,0,7707080,7254448,7162960,2108,146020
2018-05-15_20-13-17.432244441,1526407997.435817748,25000148560,2018-05-15_20-13-47.489454809,1526408027.492397268,0.76,0.71,0.47,,,,,,1808,0,47976,413755,1834,0,9352,49,0,0,7707080,7254984,7163496,2108,146020
