StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQconfig,IRQinput,IRQoutput,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-09_15-10-06.494703055,1525871406.496766813,22423493296,2018-05-09_15-10-36.537379996,1525871436.539526720,0.58,0.58,0.57,42102115788,40253206869704,,,,9787,6,684421,5466108,1052,0,13517,278,0,0,7707424,7204664,7123236,948,161020
2018-05-09_15-10-36.571804309,1525871436.573886052,23051795848,2018-05-09_15-11-06.617632916,1525871466.619846504,0.56,0.57,0.56,42211633554,40340147691062,,,,9802,6,685949,5475125,1052,0,13533,278,0,0,7707424,7217512,7135844,948,161012
2018-05-09_15-11-06.652543141,1525871466.654741956,22372578275,2018-05-09_15-11-36.718889536,1525871496.721666269,0.55,0.56,0.56,42312789660,40424527641712,,,,9816,6,687396,5484241,1052,0,13553,278,0,0,7707424,7217040,7135600,948,161012
2018-05-09_15-11-36.758991896,1525871496.761084794,22622074279,2018-05-09_15-12-06.815045255,1525871526.817227730,0.45,0.54,0.56,42421825626,40509847999098,,,,9839,6,688920,5493228,1052,0,13583,278,0,0,7707424,7216020,7134588,948,161008
2018-05-09_15-12-06.848849248,1525871526.851006945,23055151142,2018-05-09_15-12-36.895909317,1525871556.898109485,0.54,0.55,0.56,42533673312,40596801738520,,,,9852,6,690514,5502211,1052,0,13601,278,0,0,7707424,7217288,7135692,948,161008
2018-05-09_15-12-36.930674482,1525871556.932751380,22673983990,2018-05-09_15-13-06.975067380,1525871586.977200942,0.44,0.53,0.55,42643509798,40682316001448,,,,9866,6,692003,5511223,1052,0,13620,278,0,0,7707424,7217284,7135684,948,161008
2018-05-09_15-13-07.009674704,1525871587.011789747,20368444206,2018-05-09_15-13-37.080889883,1525871617.089335301,0.54,0.55,0.56,42740904804,40759157819978,,,,9880,6,693760,5519592,1052,0,13636,278,0,0,7707424,7216616,7135176,948,161008
2018-05-09_15-13-37.219396566,1525871617.228289041,22353319229,2018-05-09_15-14-07.301390596,1525871647.303909433,0.58,0.56,0.56,42843331230,40843464353232,,,,9898,6,695376,5528727,1052,0,13656,279,0,0,7707424,7218076,7136516,948,161008
2018-05-09_15-14-07.344253131,1525871647.346541569,22635368668,2018-05-09_15-14-37.392872621,1525871677.395068187,0.57,0.55,0.56,42952863516,40928832427548,,,,9911,6,696828,5537724,1052,0,13668,279,0,0,7707424,7217516,7136080,948,161008
2018-05-09_15-14-37.429013807,1525871677.431262975,22974809136,2018-05-09_15-15-07.474147804,1525871707.476320117,0.50,0.54,0.56,43056731382,41015483112326,,,,9925,6,698423,5546856,1052,0,13678,279,0,0,7707424,7217732,7136208,948,161008
2018-05-09_15-15-07.509964349,1525871707.512037019,22950239098,2018-05-09_15-15-37.553544284,1525871737.555733887,0.55,0.55,0.56,43159689888,41102038227960,,,,9938,6,699901,5556001,1052,0,13695,279,0,0,7707424,7217468,7136008,948,161012
2018-05-09_15-15-37.589591790,1525871737.591632129,22426278578,2018-05-09_15-16-07.637005514,1525871767.639286194,0.53,0.54,0.56,43262374794,41186620127982,,,,9960,6,701392,5565088,1052,0,13715,279,0,0,7707424,7204260,7122984,948,161020
2018-05-09_15-16-07.671457012,1525871767.673524586,20255250435,2018-05-09_15-16-43.623587292,1525871803.625670215,0.55,0.54,0.56,43357406280,41263024312112,,,,9982,6,703192,5575605,1052,0,13735,289,0,0,7707424,7213668,7128476,948,161020
2018-05-09_15-16-43.661852573,1525871803.664108227,22450276154,2018-05-09_15-17-13.707823003,1525871833.710062280,0.47,0.53,0.55,43459441866,41347693871874,,,,10003,6,704612,5584701,1052,0,13763,290,0,0,7707424,7204984,7123512,948,161024
2018-05-09_15-17-13.742557576,1525871833.744652317,22409102573,2018-05-09_15-17-43.790040682,1525871863.792191564,0.54,0.54,0.56,43558299372,41432208546582,,,,10023,6,705962,5593795,1052,0,13791,291,0,0,7707424,7204516,7123052,948,161028
2018-05-09_15-17-43.827333285,1525871863.829599575,22993841849,2018-05-09_15-18-13.872239002,1525871893.874358067,0.64,0.57,0.57,43666575078,41518927909860,,,,10034,6,707557,5602814,1052,0,13807,291,0,0,7707424,7205076,7123616,948,161028
2018-05-09_15-18-13.907252633,1525871893.909398951,22416672586,2018-05-09_15-18-43.950081312,1525871923.952285403,0.53,0.55,0.56,43768735764,41603470921810,,,,10051,6,709054,5611878,1052,0,13828,291,0,0,7707424,7204120,7122812,948,161028
2018-05-09_15-18-43.984461618,1525871923.986533991,22609193878,2018-05-09_15-19-14.028597383,1525871954.030781987,0.50,0.54,0.56,43877266650,41688742635690,,,,10065,6,710590,5620868,1052,0,13846,292,0,0,7707424,7217436,7135972,948,161024
2018-05-09_15-19-14.062727239,1525871954.064778160,22979325703,2018-05-09_15-19-44.105975703,1525871984.108033295,0.56,0.55,0.56,43980356076,41775408084502,,,,10076,6,712060,5630002,1052,0,13860,292,0,0,7707424,7217972,7136504,948,161024
2018-05-09_15-19-44.139905873,1525871984.141961387,22488764234,2018-05-09_15-20-14.185153703,1525872014.187215913,0.66,0.58,0.57,44082180402,41860224755720,,,,10095,6,713460,5639113,1052,0,13880,292,0,0,7707424,7217788,7136512,948,161024
2018-05-09_15-20-14.218949210,1525872014.221002589,22434674532,2018-05-09_15-20-44.266482084,1525872044.268719419,0.48,0.54,0.56,44188090488,41944838159502,,,,10110,6,715027,5648168,1052,0,13896,292,0,0,7707424,7217764,7136088,948,161024
2018-05-09_15-20-44.302375312,1525872044.304529755,22522120692,2018-05-09_15-21-14.368749356,1525872074.372586785,0.48,0.54,0.56,44296031634,42029781510354,,,,10125,6,716550,5657156,1052,0,13907,292,0,0,7707424,7218152,7136684,948,161024
2018-05-09_15-21-14.411185268,1525872074.413430709,22408753927,2018-05-09_15-21-44.458849057,1525872104.461126439,0.62,0.56,0.57,44401461060,42114295389936,,,,10138,6,718057,5666219,1052,0,13918,292,0,0,7707424,7217744,7136664,948,161024
2018-05-09_15-21-44.495565278,1525872104.501469554,23036652832,2018-05-09_15-22-14.551850441,1525872134.554060396,0.56,0.56,0.56,44510952186,42201176365648,,,,10161,6,719582,5675254,1052,0,13935,292,0,0,7707424,7217596,7136120,948,161028
2018-05-09_15-22-14.586594141,1525872134.588758479,22448725243,2018-05-09_15-22-44.631072753,1525872164.633284745,0.70,0.59,0.57,44616418092,42285843024810,,,,10172,6,721042,5684346,1052,0,13945,292,0,0,7707424,7216964,7135692,948,161028
2018-05-09_15-22-44.665979080,1525872164.668068811,22466419227,2018-05-09_15-23-14.709938765,1525872194.712136757,0.63,0.58,0.57,44719997538,42370575726020,,,,10186,6,722607,5693451,1052,0,13955,292,0,0,7707424,7217312,7135836,948,161028
2018-05-09_15-23-14.744167428,1525872194.746254920,22439476767,2018-05-09_15-23-44.789292710,1525872224.791615127,0.58,0.57,0.57,44821911324,42455204948298,,,,10198,6,724098,5702554,1052,0,13965,292,0,0,7707424,7217872,7136588,948,161028
2018-05-09_15-23-44.824587601,1525872224.826754460,22307451988,2018-05-09_15-24-14.897802790,1525872254.900638540,0.68,0.60,0.58,44924008830,42539337209472,,,,10218,6,725598,5711618,1052,0,13984,292,0,0,7707424,7205008,7123836,948,161044
2018-05-09_15-24-14.938969867,1525872254.941071016,22613231913,2018-05-09_15-24-44.986980154,1525872284.989187119,0.67,0.60,0.58,45033549294,42624624347768,,,,10235,6,727036,5720607,1052,0,14008,293,0,0,7707424,7204312,7122840,948,161044
2018-05-09_15-24-45.021388641,1525872285.023496949,22843147693,2018-05-09_15-25-15.065783803,1525872315.067958750,0.52,0.58,0.58,45140744640,42710776356814,,,,10274,6,728640,5729579,1052,0,14042,293,0,0,7707424,7196212,7115040,948,161044
2018-05-09_15-25-15.100666846,1525872315.102790453,22468141309,2018-05-09_15-25-45.143906820,1525872345.146018665,0.65,0.60,0.59,45243053046,42795514067218,,,,10304,6,730075,5738653,1052,0,14068,294,0,0,7707424,7196212,7114740,948,161048
2018-05-09_15-25-45.178577457,1525872345.180596581,22414286986,2018-05-09_15-26-15.224878528,1525872375.227022734,0.63,0.61,0.59,45346595112,42880049829330,,,,10328,6,731597,5747711,1052,0,14098,294,0,0,7707424,7196404,7114656,948,161048
2018-05-09_15-26-15.258764709,1525872375.260846345,22970734067,2018-05-09_15-26-45.302704429,1525872405.304893435,0.72,0.63,0.60,45453827598,42966683377656,,,,10341,6,733031,5756807,1052,0,14114,294,0,0,7707424,7196272,7114724,948,161056
2018-05-09_15-26-45.337518327,1525872405.339565559,22407709509,2018-05-09_15-27-15.397538721,1525872435.400303351,0.56,0.60,0.59,45555163944,43051194884496,,,,10355,6,734556,5765896,1052,0,14132,294,0,0,7707424,7208644,7127380,948,161048
