StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-11_14-55-50.587144449,1526043350.589009223,21440751975,2018-05-11_14-56-20.619173783,1526043380.621070426,0.52,0.38,0.22,1230352446,1508066335136,4521504,2578242,3792223,2121303,1749235,3020143,3062211,1763901,1103,0,24369,871206,2436,0,5190,0,0,0,32804244,31601924,31484516,2116,157984
2018-05-11_14-56-20.665956774,1526043380.667827699,16493306784,2018-05-11_14-56-50.697843385,1526043410.699744734,0.37,0.36,0.22,1256233348,1570175303800,4521506,2598331,3895076,2121303,1749235,3559686,3062211,1763901,1117,0,25246,893400,2436,0,5253,0,0,0,32804244,31614592,31497404,2116,158000
2018-05-11_14-56-50.744590054,1526043410.746488688,16319244931,2018-05-11_14-57-20.776518591,1526043440.778444456,0.29,0.34,0.22,1283172746,1632095639670,4649025,2598331,3895076,2121303,1749235,3559686,3633713,1763901,1131,0,26142,915588,2436,0,5312,0,0,0,32804244,31614008,31497712,2116,158004
2018-05-11_14-57-20.823187906,1526043440.825045943,21452441029,2018-05-11_14-57-50.855898429,1526043470.857826098,0.49,0.39,0.24,1369543056,1712803872466,4649043,2598340,3895122,3599768,1749235,3559686,3633713,1763901,1151,0,27339,937313,2436,0,5856,0,0,0,32804244,31614940,31497508,2116,158004
2018-05-11_14-57-50.902479762,1526043470.904346643,21474712888,2018-05-11_14-58-20.934419510,1526043500.936303576,0.30,0.35,0.23,1455463574,1793594212888,4649045,2598340,5373318,3599785,1749235,3559686,3633713,1763901,1173,0,28559,959021,2437,0,6393,0,0,0,32804244,31614464,31497388,2116,158032
2018-05-11_14-58-20.980870190,1526043500.982721645,16475391892,2018-05-11_14-58-51.012378270,1526043531.014286466,0.33,0.35,0.24,1481634972,1856173438780,4649047,2598340,5498097,3599785,1749235,3559686,3633713,2308016,1186,0,29437,981218,2437,0,6451,0,0,0,32804244,31613988,31496916,2116,158032
2018-05-11_14-58-51.058926704,1526043531.060780835,16324083130,2018-05-11_14-59-21.100587098,1526043561.102508255,0.20,0.32,0.23,1508974882,1917618198990,4649049,2611405,5606856,3599785,2336152,3559686,3633713,2308016,1202,0,30299,1003437,2438,0,6507,0,0,0,32804244,31614484,31497480,2116,158032
2018-05-11_14-59-21.147098686,1526043561.148959749,21303910936,2018-05-11_14-59-51.179780006,1526043591.181735763,0.39,0.35,0.24,1611299816,1997700209548,4649051,4129170,5606980,3599785,2336152,3559686,3633713,2308016,1223,0,31618,1025070,2439,0,7085,0,0,0,32804244,31613472,31496104,2116,158084
2018-05-11_14-59-51.226345184,1526043591.228205079,16587210441,2018-05-11_15-00-21.267458458,1526043621.269364018,0.37,0.35,0.24,1637778990,2060686486772,4649053,4795181,5607155,3599785,2336152,3559686,3633713,2308016,1243,0,32411,1047564,2439,0,7207,0,0,0,32804244,31611444,31494216,2116,158096
2018-05-11_15-00-21.314047816,1526043621.315939484,21327410484,2018-05-11_15-00-51.345970255,1526043651.347914586,0.42,0.36,0.25,1723828980,2140945769722,4655590,4829682,5759306,3673267,3538083,3559686,3633713,2308016,1265,0,33635,1068750,2439,0,7473,0,0,0,32804244,31612396,31495572,2116,158096
2018-05-11_15-00-51.392566054,1526043651.394443868,21335916029,2018-05-11_15-01-21.424490738,1526043681.426410983,0.33,0.34,0.25,1813417466,2221215296156,4655592,4856303,5999172,3673267,3538083,3559686,3633713,3549481,1282,0,34870,1089894,2441,0,7746,0,0,0,32804244,31611484,31494744,2116,158108
2018-05-11_15-01-21.471145901,1526043681.473029661,16478651258,2018-05-11_15-01-51.512349567,1526043711.514242788,0.35,0.34,0.25,1840105664,2283779202366,4655594,4856303,6680678,3673281,3538083,3559686,3633713,3549481,1301,0,35644,1112405,2441,0,7863,0,0,0,32804244,31598532,31481792,2116,158116
2018-05-11_15-01-51.559029236,1526043711.560910604,21472380975,2018-05-11_15-02-21.591439514,1526043741.593348141,0.40,0.36,0.25,1928546502,2364597632338,4655597,4856313,6680688,5180955,3538083,3559686,3633713,3549481,1322,0,36848,1134106,2441,0,8386,0,0,0,32804244,31599364,31482588,2116,158116
2018-05-11_15-02-21.638082500,1526043741.639966184,16461722630,2018-05-11_15-02-51.679747747,1526043771.681656918,0.30,0.34,0.25,1955056268,2426573064926,4655599,4856313,6812448,5180955,3538083,3559686,4189212,3549481,1340,0,37712,1156282,2441,0,8435,0,0,0,32804244,31599396,31482032,2116,158120
2018-05-11_15-02-51.726413221,1526043771.728291671,16500289084,2018-05-11_15-03-21.758220899,1526043801.760133641,0.46,0.37,0.26,1980363986,2489117510600,4655601,4856313,6938976,5180955,3538083,4081732,4189212,3549481,1354,0,38606,1178462,2441,0,8491,0,0,0,32804244,31599272,31482540,2116,158120
2018-05-11_15-03-21.804880908,1526043801.806741673,21400970360,2018-05-11_15-03-51.836806475,1526043831.838701926,0.73,0.45,0.29,2066544664,2569676692084,6136931,4856429,6939046,5180955,3538083,4081732,4189212,3549481,1372,0,39840,1200171,2441,0,9053,0,0,0,32804244,31600404,31483116,2116,158120
2018-05-11_15-03-51.883279735,1526043831.885136963,16659984935,2018-05-11_15-04-21.924411664,1526043861.926327157,0.56,0.43,0.29,2092061086,2632396111178,6783691,4856498,6939047,5180955,3538083,4081732,4189212,3549481,1388,0,40622,1222694,2441,0,9173,0,0,0,32804244,31601748,31484460,2116,158124
2018-05-11_15-04-21.971163233,1526043861.973027457,21359004049,2018-05-11_15-04-52.002999829,1526043892.004912839,0.51,0.44,0.30,2179021092,2713258309310,6783693,4906146,7155861,5180955,3538083,5286130,4189212,3549481,1406,0,41808,1243851,2441,0,9441,0,0,0,32804244,31614520,31497200,2116,158116
2018-05-11_15-04-52.049433903,1526043892.051297222,21238119239,2018-05-11_15-05-22.081146143,1526043922.083076040,0.60,0.47,0.32,2268514090,2793220528260,6783695,5004561,7322643,5180955,3538083,5286130,5426080,3549481,1423,0,43031,1264976,2441,0,9725,0,0,0,32804244,31615388,31498340,2116,158116
2018-05-11_15-05-22.127721385,1526043922.129581212,16350445094,2018-05-11_15-05-52.159172951,1526043952.161070073,0.36,0.43,0.31,2297223792,2854773303218,6783705,5004561,7322644,5914744,3538083,5286130,5426080,3549481,1434,0,43821,1287466,2441,0,9843,0,0,0,32804244,31615224,31497916,2116,158116
2018-05-11_15-05-52.205758896,1526043952.207617167,16605836693,2018-05-11_15-06-22.246983621,1526043982.248883948,0.37,0.42,0.31,2323084150,2917692185782,6783707,5004561,7986968,5914746,3538083,5286130,5426080,3549481,1448,0,44603,1309974,2441,0,9964,0,0,0,32804244,31614284,31497268,2116,158116
2018-05-11_15-06-22.293429906,1526043982.295285841,21325549354,2018-05-11_15-06-52.325267331,1526044012.327207019,0.37,0.41,0.31,2410143804,2998002591086,6783709,5055856,8202644,5914746,3538083,5286130,5426080,4764463,1463,0,45832,1331168,2441,0,10231,0,0,0,32804244,31613644,31496620,2116,158116
