StartTime,StartEpoch,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,CTXT,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-18_14-15-07.123041085,1526645707.125161895,2018-05-18_14-15-07.129688128,1526645707.131688451,0.33,0.42,0.20,2670290,1413292006,4,12659,8,0,0,2,0,44495,2855,0,3247,322514,4838,0,38,0,1869,0,439559,32804244,29598396,29968052,2116,680436
2018-05-18_14-15-37.183275715,1526645737.185382265,2018-05-18_14-15-37.189728191,1526645737.191640779,0.86,0.54,0.25,99259544,53064065722,568,198670,115178,140708,0,2,0,1514188,4545,0,5402,341240,4850,0,1220,0,3553,0,637681,32804244,29579648,29950132,2116,680960
2018-05-18_14-16-07.242932395,1526645767.245058534,2018-05-18_14-16-07.249923735,1526645767.251802317,1.26,0.67,0.30,166495198,105923916162,1698,360629,141496,446591,0,2,0,2469441,6147,0,7505,360149,4852,0,2410,0,5149,0,842123,32804244,29552660,29922880,2116,680964
2018-05-18_14-16-37.304005830,1526645797.306082689,2018-05-18_14-16-37.310460022,1526645797.312407730,1.20,0.71,0.33,257712740,155388832778,2097,1646724,151234,596106,40378,2,0,2469441,7774,0,9381,379178,4856,0,3675,0,6768,0,1033512,32804244,29551392,29921860,2116,680964
2018-05-18_14-17-07.364128449,1526645827.366474003,2018-05-18_14-17-07.371025884,1526645827.373147624,1.34,0.79,0.36,363381290,207244043898,2787,1881489,383695,610222,1464027,2,0,2469441,9480,0,11432,397885,4858,0,4832,0,8467,0,1229078,32804244,29536924,29907356,2116,680972
2018-05-18_14-17-37.426357920,1526645857.428596867,2018-05-18_14-17-37.432937573,1526645857.434960245,1.49,0.87,0.41,457392240,256940408992,2863,2082009,1817735,705137,1464027,2,0,2469441,11132,0,13594,416844,4859,0,6035,0,10110,0,1414914,32804244,29534832,29905352,2116,680976
2018-05-18_14-18-07.487014986,1526645887.489008976,2018-05-18_14-18-07.493698069,1526645887.495762272,1.37,0.90,0.43,511741366,285781350432,3437,2848656,1876291,760789,1464027,2,0,2490249,12071,0,15926,436732,4860,0,6768,0,11042,0,1581176,32804244,29531072,29901320,2116,680976
2018-05-18_14-18-37.547940400,1526645917.550225409,2018-05-18_14-18-37.555019889,1526645917.557162667,1.42,0.96,0.46,571373500,315599647920,3588,2994139,1916722,829891,1464027,2,0,3328656,12988,0,18354,456500,4864,0,7434,0,11949,0,1753369,32804244,29530588,29901088,2116,680980
2018-05-18_14-19-07.610796837,1526645947.612736133,2018-05-18_14-19-07.617056315,1526645947.619143632,1.27,0.96,0.48,627510466,345370789622,4127,3206040,2769183,847629,1483610,2,0,3328656,13969,0,20846,476319,4867,0,8094,0,12922,0,1915470,32804244,29529164,29899088,2116,680980
2018-05-18_14-19-37.671021477,1526645977.673131943,2018-05-18_14-19-37.677700604,1526645977.679769606,1.37,1.01,0.51,688031112,375479538062,4468,3357750,2775659,925991,2348758,2,0,3328656,14887,0,23278,496092,4868,0,8750,0,13833,0,2085402,32804244,29530528,29900708,2116,680984
2018-05-18_14-20-07.730047622,1526646007.732208489,2018-05-18_14-20-07.736749372,1526646007.738673798,1.29,1.03,0.53,742604814,404973844514,5303,3533091,2804323,987067,3166782,2,0,3328656,15817,0,25690,515850,4871,0,9423,0,14755,0,2265529,32804244,29544296,29914848,2116,681008
