StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQconfig,IRQinput,IRQoutput,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-13_14-19-52.185408755,1526213992.187249699,36.656836,2018-05-13_14-20-22.425786437,1526214022.427664188,0.95,0.87,0.56,,,,,,70365,0,2217,896323,2359,0,4,0,0,0,32804244,31874176,31746656,2116,136720
2018-05-13_14-20-22.457753273,1526214022.459606129,36.656833,2018-05-13_14-20-52.697992196,1526214052.699880262,0.97,0.89,0.58,,,,,,73388,0,2223,917509,2359,0,4,0,0,0,32804244,31874776,31746984,2116,136720
2018-05-13_14-20-52.729879098,1526214052.731726744,36.656838,2018-05-13_14-21-22.970089195,1526214082.971970542,1.04,0.91,0.60,,,,,,76412,0,2226,938697,2359,0,4,0,0,0,32804244,31874600,31746500,2116,136720
2018-05-13_14-21-23.001736308,1526214083.003577650,36.656836,2018-05-13_14-21-53.242321139,1526214113.244166083,1.02,0.92,0.61,,,,,,79436,0,2230,959882,2359,0,4,0,0,0,32804244,31873468,31746208,2116,136720
2018-05-13_14-21-53.274099106,1526214113.275960232,36.656838,2018-05-13_14-22-23.514667243,1526214143.516545037,1.01,0.93,0.62,,,,,,82460,0,2233,981070,2359,0,4,0,0,0,32804244,31873560,31745744,2116,136720
2018-05-13_14-22-23.546329898,1526214143.548168276,36.656837,2018-05-13_14-22-53.786625320,1526214173.788489809,1.07,0.95,0.64,,,,,,85484,0,2239,1002256,2359,0,4,0,0,0,32804244,31873868,31746288,2116,136720
2018-05-13_14-22-53.818341290,1526214173.820193740,36.656837,2018-05-13_14-23-24.058744369,1526214204.060600139,1.04,0.96,0.65,,,,,,88506,0,2243,1023444,2359,0,4,0,0,0,32804244,31873716,31745896,2116,136720
2018-05-13_14-23-24.090372312,1526214204.092221103,36.656836,2018-05-13_14-23-54.330805190,1526214234.332665362,1.03,0.96,0.66,,,,,,91530,0,2248,1044630,2359,0,4,0,0,0,32804244,31873768,31746016,2116,136720
2018-05-13_14-23-54.362505570,1526214234.364330067,36.656837,2018-05-13_14-24-24.602753741,1526214264.604593011,1.09,0.98,0.68,,,,,,94554,0,2251,1065818,2359,0,4,0,0,0,32804244,31874068,31745696,2116,136720
2018-05-13_14-24-24.634378308,1526214264.636215422,36.656836,2018-05-13_14-24-54.874950886,1526214294.876803448,1.05,0.98,0.69,,,,,,97580,0,2258,1087000,2359,0,4,0,0,0,32804244,31861048,31733476,2116,136728
2018-05-13_14-24-54.906752028,1526214294.908587146,36.656832,2018-05-13_14-25-25.147137838,1526214325.149025770,0.96,0.97,0.69,,,,,,100603,0,2262,1108187,2359,0,4,0,0,0,32804244,31859592,31731832,2116,136732
2018-05-13_14-25-25.179183128,1526214325.181040120,36.656834,2018-05-13_14-25-55.419704887,1526214355.421554622,0.98,0.97,0.70,,,,,,103629,0,2270,1129368,2359,0,4,0,0,0,32804244,31859556,31731760,2116,136732
2018-05-13_14-25-55.451527602,1526214355.453378296,36.656836,2018-05-13_14-26-25.691882754,1526214385.693772414,1.04,0.99,0.71,,,,,,106655,0,2275,1150551,2359,0,4,0,0,0,32804244,31860196,31732960,2116,136736
2018-05-13_14-26-25.723798371,1526214385.725628012,36.656836,2018-05-13_14-26-55.964595986,1526214415.966482030,1.02,0.99,0.72,,,,,,109680,0,2280,1171737,2359,0,4,0,0,0,32804244,31860500,31732908,2116,136736
