StartTime,StartEpoch,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,CTXT,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-21_18-23-38.430673758,1526919818.432667844,2018-05-21_18-23-38.437009175,1526919818.438906194,0.91,0.67,0.41,826805130,687150146024,3460386,2469950,2678691,2271017,969894,2663052,2267136,1099979,32546,7,42272,64175606,6059,0,15396,0,27957,0,13671948,32804244,29787532,30269000,2116,805456
2018-05-21_18-24-08.491865718,1526919848.493951674,2018-05-21_18-24-08.498334090,1526919848.500202654,1.02,0.71,0.44,873938896,733734735664,3522148,2469950,2832559,2312637,974732,2703131,2267172,1939575,34196,7,44579,64194671,6061,0,16302,0,29603,0,13857002,32804244,29780568,30262320,2116,805460
2018-05-21_18-24-38.553137242,1526919878.555173590,2018-05-21_18-24-38.559580068,1526919878.561488124,1.15,0.77,0.46,920052054,779156725656,3608826,2502973,2943176,2312637,987461,3543928,2290262,1939575,35914,7,46873,64213663,6065,0,17246,0,31315,0,14018286,32804244,29782168,30263364,2116,805452
2018-05-21_18-25-08.612943616,1526919908.615103274,2018-05-21_18-25-08.619509254,1526919908.621456395,1.10,0.80,0.48,966835150,825578145834,3732981,2509916,2943176,2506323,1005777,3610074,3057519,1939575,37747,7,49209,64232520,6067,0,18166,0,33145,0,14174810,32804244,29778900,30260352,2116,805452
2018-05-21_18-25-38.674185607,1526919938.676217537,2018-05-21_18-25-38.680642549,1526919938.682569086,1.07,0.82,0.50,1013604052,872209878076,3823207,2602333,2943176,2506323,1711425,3641571,3259662,1959164,39375,7,51562,64251523,6067,0,19160,0,34768,0,14354959,32804244,29778820,30260296,2116,805452
2018-05-21_18-26-08.733680013,1526919968.735746923,2018-05-21_18-26-08.740106237,1526919968.742023259,1.09,0.85,0.52,1058729882,916802081792,3972094,2602333,3002360,2535433,1718559,3659433,3259662,2811547,41123,7,53866,64270539,6068,0,20027,0,36511,0,14520851,32804244,29777068,30258524,2116,805452
2018-05-21_18-26-38.794579766,1526919998.796645383,2018-05-21_18-26-38.801052535,1526919998.802956287,1.17,0.89,0.55,1103414496,961273009580,4086612,2663447,3002360,2535433,1722222,4458100,3420328,2811547,42781,7,56165,64289618,6069,0,20908,0,38163,0,14690332,32804244,29775148,30256632,2116,805452
2018-05-21_18-27-08.854860671,1526920028.856896139,2018-05-21_18-27-08.861259242,1526920028.863183295,1.23,0.94,0.57,1149261670,1006671319698,4163318,2737714,3054074,2554932,1754880,4527013,4159097,2843749,44568,7,58493,64308544,6070,0,21760,0,39946,0,14854368,32804244,29769848,30251480,2116,805452
2018-05-21_18-27-38.915037175,1526920058.917078021,2018-05-21_18-27-38.921469643,1526920058.923388959,1.41,1.01,0.61,1196055660,1053381469470,4391137,2763288,3121569,2554932,2461482,4563458,4167409,2955955,46410,7,60834,64327348,6070,0,22705,0,41783,0,15000949,32804244,29771184,30252628,2116,805452
2018-05-21_18-28-08.975775418,1526920088.977845046,2018-05-21_18-28-08.982249806,1526920088.984191419,1.32,1.02,0.62,1235534322,1098982199938,4615886,2763288,3121569,2568898,2464808,4642001,4167409,3662010,48104,7,63138,64346399,6071,0,23591,0,43474,0,15175173,32804244,29769288,30251036,2116,805452
2018-05-21_18-28-39.034952719,1526920119.036995613,2018-05-21_18-28-39.041356074,1526920119.043279707,1.24,1.04,0.64,1281539664,1142065189248,4733915,2763288,3149701,2568898,2466126,5538810,4180320,3662010,49702,7,65399,64365560,6077,0,24513,0,45068,0,15353616,32804244,29767968,30249680,2116,805452
2018-05-21_18-29-09.094695521,1526920149.096752822,2018-05-21_18-29-09.101136297,1526920149.103049767,1.18,1.05,0.66,1335022166,1185795751642,4746802,2877773,3156113,2568898,2480462,5645121,5116900,3676989,51334,7,67675,64384641,6078,0,25438,0,46694,0,15533468,32804244,29763864,30245532,2116,805452
