StartTime,StartEpoch,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,CTXT,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-21_20-09-43.918845576,1526926183.920814777,2018-05-21_20-09-43.925093171,1526926183.927000624,0.33,0.92,1.11,9938257390,7327862560084,35137053,26102136,24952853,26702166,20352139,30446256,26006006,23739869,286155,7,549731,68330777,6542,0,165571,0,278064,0,46825812,32804244,29177668,29659852,2116,806136
2018-05-21_20-10-13.980305242,1526926213.982515514,2018-05-21_20-10-13.987294399,1526926213.989317756,0.68,0.95,1.11,10028948084,7372720376992,35311810,26102136,25052941,26702166,20357180,31838357,26035054,23739869,288075,7,551759,68349459,6546,0,166748,0,279978,0,46977799,32804244,29183796,29665968,2116,806144
2018-05-21_20-10-44.044119811,1526926244.046187076,2018-05-21_20-10-44.050585572,1526926244.052529598,1.07,1.02,1.13,10120255418,7418231295788,35494630,26102136,25147495,26773166,20388733,31838360,27441487,23739869,290076,7,553810,68367990,6549,0,167927,0,281973,0,47136196,32804244,29164808,29646984,2116,806148
2018-05-21_20-11-14.104334448,1526926274.106410248,2018-05-21_20-11-14.110768094,1526926274.112705362,1.30,1.08,1.15,10213085184,7464172561858,35761732,26117278,25147495,26844423,21773353,31841474,27479724,23767653,292166,7,555860,68386428,6555,0,169105,0,284058,0,47269807,32804244,29152708,29635188,2116,806148
2018-05-21_20-11-44.165456170,1526926304.167531083,2018-05-21_20-11-44.172108523,1526926304.174119619,1.23,1.08,1.15,10303487558,7509016148976,35805612,26196404,25147495,26894428,21785606,31879651,27479724,25184481,294031,7,557911,68405242,6558,0,170204,0,285918,0,47435370,32804244,29152480,29635144,2116,806148
2018-05-21_20-12-14.225142418,1526926334.227182904,2018-05-21_20-12-14.231563041,1526926334.233488640,1.54,1.17,1.17,10382808268,7555185544958,35926309,26196404,25213705,26894428,21808431,33063531,27550195,25226191,295941,7,559966,68423963,6559,0,171386,0,287824,0,47585291,32804244,29143120,29625336,2116,806148
2018-05-21_20-12-44.284350989,1526926364.286373475,2018-05-21_20-12-44.290724090,1526926364.292675893,1.45,1.19,1.18,10475888786,7601831556262,36068887,26251225,25213705,26911736,23220192,33063531,27755320,25226191,297931,7,562076,68442484,6560,0,172518,0,289809,0,47734605,32804244,29131120,29614140,2116,806148
2018-05-21_20-13-14.346180860,1526926394.348196720,2018-05-21_20-13-14.352584684,1526926394.354593709,1.40,1.20,1.18,10567891544,7647414637274,36161971,26520244,25213705,26911736,23240922,33111399,29164816,25226191,299998,7,564122,68460951,6563,0,173634,0,291871,0,47878382,32804244,29132080,29613916,2116,806148
2018-05-21_20-13-44.407514324,1526926424.409554141,2018-05-21_20-13-44.413930118,1526926424.415858358,1.17,1.17,1.17,10659276830,7692293494582,36161971,26535109,25333000,26911736,23240957,34470816,29164816,25246785,301756,7,566145,68479873,6567,0,174780,0,293624,0,48052003,32804244,29128356,29611384,2116,806148
2018-05-21_20-14-14.469849338,1526926454.471891481,2018-05-21_20-14-14.476254158,1526926454.478046524,1.39,1.22,1.19,10751261732,7737526226220,36301447,26686104,25333000,26911736,23280010,34481310,29164816,26648788,303702,7,568233,68498503,6569,0,175909,0,295566,0,48214018,32804244,29131328,29613548,2116,806148
2018-05-21_20-14-44.529560379,1526926484.531579269,2018-05-21_20-14-44.535993421,1526926484.537955813,1.33,1.22,1.19,10845935210,7783953569212,36425077,26728591,25333000,26916020,24704841,34659093,29225584,26650962,305721,7,570352,68517027,6570,0,177147,0,297581,0,48347056,32804244,29126832,29609008,2116,806148
2018-05-21_20-15-14.589165809,1526926514.591202652,2018-05-21_20-15-14.595583052,1526926514.597522664,1.45,1.27,1.21,10922998832,7829742479558,36425077,26756011,25402394,26969571,24704978,34675788,30504927,26650962,307421,7,572401,68536016,6572,0,178298,0,299276,0,48523306,32804244,29111612,29594012,2116,806156
2018-05-21_20-15-44.650705209,1526926544.653028801,2018-05-21_20-15-44.657711630,1526926544.659741894,1.45,1.29,1.22,11016016054,7875699217998,36526019,26756011,25427271,26969571,24707407,36108086,30675966,26708394,309398,7,574504,68554648,6574,0,179404,0,301246,0,48673860,32804244,29111428,29593648,2116,806156
2018-05-21_20-16-14.711924467,1526926574.713948691,2018-05-21_20-16-14.718317720,1526926574.720284104,1.34,1.28,1.22,11074738748,7904702543626,36726248,26756011,25427271,26969571,24720438,36125111,30675966,27594503,310638,7,576939,68574101,6575,0,180101,0,302480,0,48832339,32804244,29112016,29594704,2116,806164
2018-05-21_20-16-44.771587818,1526926604.773594044,2018-05-21_20-16-44.777939093,1526926604.779943797,1.34,1.28,1.22,11127265986,7931115064022,36809458,26802186,25450740,26969571,25529327,36176587,30683954,27613757,311726,7,579438,68593738,6575,0,180756,0,303561,0,48977188,32804244,29109092,29590812,2116,806168
2018-05-21_20-17-14.832134166,1526926634.834185250,2018-05-21_20-17-14.838604127,1526926634.840537934,1.11,1.24,1.21,11179811080,7957440764052,36920783,26852319,25450740,26969571,25541692,36257359,31491847,27613791,312833,7,581948,68613363,6577,0,181381,0,304663,0,49114472,32804244,29097776,29579932,2116,806168
