StartTime,StartEpoch,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-11_20-08-45.186770306,1526062125.188667981,2018-05-11_20-08-45.193224721,1526062125.195265223,0.60,0.49,0.26,209557986,178056180852,1617,1654757,462932,116864,1538820,0,0,43616,8277,0,9560,1371008,4491,0,4005,0,7246,0,32804244,29512968,29902156,2116,700048
2018-05-11_20-09-15.242703896,1526062155.244810794,2018-05-11_20-09-15.249480344,1526062155.251373230,0.89,0.57,0.29,295349480,229054808320,1713,1942239,1758960,117070,1538820,0,0,79050,9927,0,11501,1390006,4491,0,5213,0,8891,0,32804244,29510640,29899948,2116,700044
2018-05-11_20-09-45.300974537,1526062185.303015031,2018-05-11_20-09-45.307735438,1526062185.309647369,1.21,0.68,0.33,373748014,281182237750,2719,2221977,1924018,117714,1573529,0,0,1137381,11532,0,13500,1408927,4494,0,6357,0,10492,0,32804244,29501228,29890796,2116,700044
2018-05-11_20-10-15.358769589,1526062215.360849767,2018-05-11_20-10-15.365424838,1526062215.367327163,1.21,0.72,0.36,451328436,333202071982,3153,2384425,2239742,118280,2627794,0,0,1137381,13100,0,15498,1427875,4500,0,7527,0,12054,0,32804244,29501356,29890624,2116,700076
2018-05-11_20-10-45.414231686,1526062245.416381018,2018-05-11_20-10-45.420985232,1526062245.422930615,1.33,0.80,0.40,538712000,383462603146,42525,3745857,2467631,118430,2627794,0,0,1137381,14665,0,17420,1446962,4506,0,8753,0,13614,0,32804244,29496288,29886536,2116,700484
2018-05-11_20-11-15.471994909,1526062275.474141858,2018-05-11_20-11-15.478867024,1526062275.481044367,1.41,0.87,0.43,623473356,436749602984,1251810,4089726,2577424,118544,2627794,32475,0,1137381,16477,0,19624,1465397,4508,0,10151,0,15294,0,32804244,29496136,29886708,2116,700520
2018-05-11_20-11-45.531661720,1526062305.533782199,2018-05-11_20-11-45.538353799,1526062305.540306976,1.57,0.96,0.48,690156242,488765773080,1252458,4328163,2785962,118943,2627794,979168,39071,1137381,18148,0,21882,1483975,4514,0,11501,0,16808,0,32804244,29494844,29885940,2116,701540
2018-05-11_20-12-15.590145724,1526062335.592172331,2018-05-11_20-12-15.596611777,1526062335.598585872,1.47,0.99,0.51,758241496,540625250234,1253161,4545568,3016211,149251,2627794,979168,1057075,1137381,19838,0,24125,1502533,4521,0,12867,0,18343,0,32804244,29494152,29886220,2116,702240
2018-05-11_20-12-45.645795396,1526062365.647940815,2018-05-11_20-12-45.652808330,1526062365.654865757,1.36,1.01,0.53,786320158,557703982546,1253382,4625779,3082785,538673,2627794,979168,1057075,1137381,20640,0,26692,1522225,4522,0,13340,0,18996,0,32804244,29478560,29870980,2116,702252
