StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,bbuser,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-13_17-59-37.964940374,1526227177.966853670,39.176171,2018-05-13_18-00-08.206083165,1526227208.207991568,0.52,0.73,0.87,341130,395774,2385,809,745,783,0,0,0,0,856795,0,4444,7221747,2422,0,11,0,0,0,32804244,31752716,31635380,2116,156928
2018-05-13_18-00-08.252459841,1526227208.254433005,39.176160,2018-05-13_18-00-38.493429502,1526227238.495332386,0.64,0.74,0.86,342322,397158,2408,809,746,783,0,0,0,0,859821,0,4452,7242939,2422,0,11,0,0,0,32804244,31740316,31622460,2116,156940
2018-05-13_18-00-38.539920690,1526227238.541764608,39.176163,2018-05-13_18-01-08.780674348,1526227268.782583123,0.71,0.75,0.86,343514,398542,2431,809,746,784,0,0,0,0,862849,0,4460,7264129,2422,0,11,0,0,0,32804244,31739712,31621792,2116,156944
2018-05-13_18-01-08.827186721,1526227268.829034853,39.176173,2018-05-13_18-01-39.067776683,1526227299.069654284,0.83,0.77,0.87,344706,399926,2456,809,746,784,0,0,0,0,865873,0,4466,7285325,2422,0,11,0,0,0,32804244,31739076,31621148,2116,156944
2018-05-13_18-01-39.114335829,1526227299.116227234,39.176166,2018-05-13_18-02-09.354977930,1526227329.356886735,0.89,0.79,0.87,346192,401668,2479,809,747,784,0,0,0,0,868900,0,4473,7306516,2422,0,11,0,0,0,32804244,31739488,31621564,2116,156948
2018-05-13_18-02-09.401385041,1526227329.403240642,39.176163,2018-05-13_18-02-39.642096149,1526227359.644003534,0.94,0.81,0.87,347090,402694,2486,809,748,784,0,0,0,0,871926,0,4481,7327710,2422,0,11,0,0,0,32804244,31739848,31622252,2116,156952
2018-05-13_18-02-39.688494693,1526227359.690364039,39.176173,2018-05-13_18-03-09.929010292,1526227389.930903906,0.96,0.83,0.87,348282,404078,2494,809,748,784,0,0,0,0,874950,0,4487,7348905,2422,0,11,0,0,0,32804244,31739740,31622128,2116,156952
2018-05-13_18-03-09.975413729,1526227389.977274078,39.176172,2018-05-13_18-03-40.215797135,1526227420.217740025,0.98,0.85,0.88,349474,405462,2502,809,748,784,0,0,0,0,877974,0,4493,7370102,2422,0,11,0,0,0,32804244,31751564,31634236,2116,156944
2018-05-13_18-03-40.262385443,1526227420.264263042,39.176169,2018-05-13_18-04-10.502980794,1526227450.504894113,0.99,0.86,0.88,350666,406846,2509,809,750,784,0,0,0,0,880999,0,4498,7391298,2422,0,11,0,0,0,32804244,31751204,31633764,2116,156944
2018-05-13_18-04-10.549441144,1526227450.551297631,39.176174,2018-05-13_18-04-40.789612162,1526227480.791478165,0.99,0.87,0.88,351858,408230,2518,809,750,784,0,0,0,0,884023,0,4503,7412496,2422,0,11,0,0,0,32804244,31751064,31633432,2116,156944
2018-05-13_18-04-40.835874976,1526227480.837733342,39.176172,2018-05-13_18-05-11.076324302,1526227511.078217760,0.99,0.89,0.89,353050,409614,2526,809,750,784,0,0,0,0,887048,0,4509,7433692,2422,0,11,0,0,0,32804244,31751568,31633228,2116,156944
2018-05-13_18-05-11.122734087,1526227511.124604787,39.176167,2018-05-13_18-05-41.362891256,1526227541.364765841,1.00,0.90,0.89,354242,410998,2533,809,750,785,0,0,0,0,890071,0,4514,7454890,2422,0,11,0,0,0,32804244,31751908,31634000,2116,156944
2018-05-13_18-05-41.409079320,1526227541.410941684,39.176165,2018-05-13_18-06-11.649225572,1526227571.651086893,1.00,0.91,0.89,355434,412382,2540,809,752,785,0,0,0,0,893096,0,4520,7476085,2422,0,11,0,0,0,32804244,31752628,31634460,2116,156944
2018-05-13_18-06-11.695359887,1526227571.697221998,39.176175,2018-05-13_18-06-41.935736495,1526227601.937608450,1.00,0.92,0.90,356626,413766,2544,809,772,785,0,0,0,0,896119,0,4525,7497283,2422,0,11,0,0,0,32804244,31751516,31633756,2116,156944
2018-05-13_18-06-41.981713382,1526227601.983557171,39.176175,2018-05-13_18-07-12.221902775,1526227632.223779134,1.00,0.93,0.90,357818,415150,2548,809,793,785,0,0,0,0,899143,0,4531,7518479,2422,0,11,0,0,0,32804244,31752176,31635304,2116,156944
2018-05-13_18-07-12.267981880,1526227632.269825696,39.176174,2018-05-13_18-07-42.508257197,1526227662.510127308,1.00,0.93,0.90,359010,416534,2552,809,814,785,0,0,0,0,902167,0,4535,7539677,2422,0,11,0,0,0,32804244,31752576,31634396,2116,156944
2018-05-13_18-07-42.554381267,1526227662.556224103,39.176172,2018-05-13_18-08-12.794675940,1526227692.796556806,1.07,0.95,0.91,360202,417918,2556,809,835,785,0,0,0,0,905191,0,4541,7560873,2422,0,11,0,0,0,32804244,31752512,31634908,2116,156948
2018-05-13_18-08-12.840794976,1526227692.842642248,39.176174,2018-05-13_18-08-43.081281976,1526227723.083166566,1.04,0.96,0.91,361394,419302,2564,809,835,785,0,0,0,0,908217,0,4548,7582067,2422,0,11,0,0,0,32804244,31740476,31622584,2116,156960
2018-05-13_18-08-43.127671913,1526227723.129494582,39.176168,2018-05-13_18-09-13.368061190,1526227753.369954797,1.03,0.96,0.92,362586,420686,2572,809,835,786,0,0,0,0,911243,0,4556,7603258,2422,0,12,0,0,0,32804244,31739764,31622444,2116,156960
2018-05-13_18-09-13.414421746,1526227753.416277022,39.176170,2018-05-13_18-09-43.654964698,1526227783.656851831,1.02,0.96,0.92,363778,422070,2580,809,835,786,0,0,0,0,914268,0,4560,7624456,2422,0,12,0,0,0,32804244,31739072,31621232,2116,156960
2018-05-13_18-09-43.701316253,1526227783.703183103,39.176172,2018-05-13_18-10-13.941926417,1526227813.943791638,1.01,0.97,0.92,364970,423454,2588,809,835,786,0,0,0,0,917295,0,4570,7645645,2422,0,12,0,0,0,32804244,31739764,31621900,2116,156972
2018-05-13_18-10-13.988244036,1526227813.990091611,39.176172,2018-05-13_18-10-44.229360890,1526227844.231374516,0.95,0.96,0.92,366162,424838,2592,829,835,786,0,0,0,0,920320,0,4579,7666838,2422,0,12,0,0,0,32804244,31738312,31620488,2116,156976
2018-05-13_18-10-44.276072998,1526227844.277939811,39.176173,2018-05-13_18-11-14.516733932,1526227874.518630959,0.97,0.96,0.92,367354,426222,2596,849,835,786,0,0,0,0,923345,0,4585,7688034,2422,0,12,0,0,0,32804244,31739044,31621184,2116,156976
2018-05-13_18-11-14.563204957,1526227874.565037336,39.176171,2018-05-13_18-11-44.803636071,1526227904.805511414,0.98,0.96,0.93,368546,427606,2600,869,835,786,0,0,0,0,926370,0,4589,7709231,2422,0,12,0,0,0,32804244,31751016,31633640,2116,156968
