StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,bbuser,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-13_15-34-50.637790031,1526218490.639693658,,2018-05-13_15-34-50.648775970,1526218490.650643548,0.59,0.20,0.11,3602,4114,29,0,4,0,0,0,0,0,7575,0,2577,1099705,2357,0,6,0,0,0,32804244,31873688,31745392,2116,136420
2018-05-13_15-34-50.694710691,1526218490.696554102,,2018-05-13_15-34-50.705541173,1526218490.707388587,0.59,0.20,0.11,3602,4114,30,0,4,0,0,0,0,0,7577,0,2581,1099744,2357,0,6,0,0,0,32804244,31874056,31746056,2116,136420
2018-05-13_15-34-50.751538944,1526218490.753392734,,2018-05-13_15-34-50.762462148,1526218490.764338252,0.59,0.20,0.11,3602,4114,31,0,4,0,0,0,0,0,7578,0,2586,1099783,2357,0,6,0,0,0,32804244,31873392,31745092,2116,136420
2018-05-13_15-34-50.808491325,1526218490.810332570,,2018-05-13_15-34-50.819305370,1526218490.821176991,0.59,0.20,0.11,3602,4114,32,0,4,0,0,0,0,0,7580,0,2591,1099823,2357,0,6,0,0,0,32804244,31873324,31744768,2116,136420
2018-05-13_15-34-50.865417238,1526218490.867274326,,2018-05-13_15-34-50.876310793,1526218490.878156672,0.59,0.20,0.11,3858,4394,33,0,4,1,0,0,0,0,7582,0,2595,1099862,2357,0,6,0,0,0,32804244,31873024,31745084,2116,136420
2018-05-13_15-34-50.922357064,1526218490.924231059,,2018-05-13_15-34-50.933251861,1526218490.935102778,0.59,0.20,0.11,3858,4394,34,0,4,2,0,0,0,0,7584,0,2599,1099901,2357,0,6,0,0,0,32804244,31873932,31745436,2116,136420
2018-05-13_15-34-50.979327675,1526218490.981186433,,2018-05-13_15-34-50.990220745,1526218490.992072854,0.59,0.20,0.11,3858,4394,35,0,4,3,0,0,0,0,7585,0,2604,1099940,2357,0,6,0,0,0,32804244,31872828,31744580,2116,136420
2018-05-13_15-34-51.036303141,1526218491.038156007,,2018-05-13_15-34-51.047251024,1526218491.049125425,0.59,0.20,0.11,3858,4394,36,0,4,4,0,0,0,0,7588,0,2608,1099980,2357,0,6,0,0,0,32804244,31872592,31744716,2116,136420
2018-05-13_15-34-51.093323468,1526218491.095167625,,2018-05-13_15-34-51.104204448,1526218491.106063699,0.59,0.20,0.11,4178,4744,37,0,4,4,0,0,0,0,7589,0,2612,1100019,2357,0,6,0,0,0,32804244,31872756,31744468,2116,136420
2018-05-13_15-34-51.150325503,1526218491.152195385,,2018-05-13_15-34-51.161182901,1526218491.163036948,0.59,0.20,0.11,4178,4744,38,0,4,4,0,0,0,0,7591,0,2616,1100058,2357,0,6,0,0,0,32804244,31872828,31744868,2116,136420
2018-05-13_15-34-51.207271141,1526218491.209145151,,2018-05-13_15-34-51.218177013,1526218491.220031898,0.59,0.20,0.11,4178,4744,39,0,4,4,0,0,0,0,7592,0,2621,1100097,2357,0,6,0,0,0,32804244,31872072,31743476,2116,136420
2018-05-13_15-34-51.264082611,1526218491.265944043,,2018-05-13_15-34-51.274895725,1526218491.276750775,0.59,0.20,0.11,4178,4744,40,0,4,4,0,0,0,0,7595,0,2625,1100136,2357,0,6,0,0,0,32804244,31872328,31744128,2116,136420
2018-05-13_15-34-51.320996473,1526218491.322875338,,2018-05-13_15-34-51.331958153,1526218491.333826751,0.59,0.20,0.11,4178,4744,42,0,4,4,0,0,0,0,7597,0,2629,1100176,2357,0,6,0,0,0,32804244,31873200,31744432,2116,136420
2018-05-13_15-34-51.377932687,1526218491.379795465,,2018-05-13_15-34-51.388777954,1526218491.390642311,0.59,0.20,0.11,4434,5024,43,0,4,4,0,0,0,0,7599,0,2633,1100215,2357,0,6,0,0,0,32804244,31872692,31744444,2116,136424
2018-05-13_15-34-51.435136224,1526218491.437036572,,2018-05-13_15-34-51.446305489,1526218491.448191152,0.59,0.20,0.11,4434,5024,44,0,4,4,0,0,0,0,7600,0,2638,1100254,2357,0,6,0,0,0,32804244,31872320,31744108,2116,136424
2018-05-13_15-34-51.492473948,1526218491.494345141,,2018-05-13_15-34-51.503400777,1526218491.505260769,0.59,0.20,0.11,4434,5024,45,0,4,4,0,0,0,0,7602,0,2642,1100294,2357,0,6,0,0,0,32804244,31871192,31743500,2116,136424
2018-05-13_15-34-51.549364638,1526218491.551226754,,2018-05-13_15-34-51.560392529,1526218491.562260376,0.59,0.20,0.11,4434,5024,46,0,5,4,0,0,0,0,7604,0,2647,1100333,2357,0,6,0,0,0,32804244,31871404,31743472,2116,136424
2018-05-13_15-34-51.606426163,1526218491.608286389,,2018-05-13_15-34-51.617359822,1526218491.619212523,0.59,0.20,0.11,4690,5304,47,0,6,4,0,0,0,0,7606,0,2651,1100372,2357,0,6,0,0,0,32804244,31870548,31742048,2116,136424
2018-05-13_15-34-51.663328596,1526218491.665178557,,2018-05-13_15-34-51.674225146,1526218491.676077234,0.59,0.20,0.11,4690,5304,48,0,7,4,0,0,0,0,7607,0,2657,1100411,2357,0,6,0,0,0,32804244,31870212,31741680,2116,136424
2018-05-13_15-34-51.720152386,1526218491.722007578,,2018-05-13_15-34-51.731152623,1526218491.733023920,0.59,0.20,0.11,4690,5304,49,0,8,4,0,0,0,0,7608,0,2661,1100450,2357,0,6,0,0,0,32804244,31870136,31741640,2116,136424
2018-05-13_15-34-51.777156968,1526218491.779008089,,2018-05-13_15-34-51.788126746,1526218491.789985803,0.59,0.20,0.11,4690,5304,50,0,8,4,0,0,0,0,7610,0,2665,1100490,2357,0,6,0,0,0,32804244,31869440,31741228,2116,136424
2018-05-13_15-34-51.833983962,1526218491.835852337,,2018-05-13_15-34-51.844902066,1526218491.846767290,0.59,0.20,0.11,4690,5304,51,0,8,4,0,0,0,0,7611,0,2670,1100529,2357,0,6,0,0,0,32804244,31869060,31740812,2116,136424
2018-05-13_15-34-51.890874587,1526218491.892715603,,2018-05-13_15-34-51.901752240,1526218491.903600826,0.59,0.20,0.11,5010,5654,52,0,8,4,0,0,0,0,7613,0,2675,1100568,2357,0,6,0,0,0,32804244,31869296,31741060,2116,136424
2018-05-13_15-34-51.947585483,1526218491.949429440,,2018-05-13_15-34-51.958471408,1526218491.960320904,0.59,0.20,0.11,5010,5654,53,0,8,4,0,0,0,0,7614,0,2680,1100607,2357,0,6,0,0,0,32804244,31868412,31740444,2116,136424
