StartTime,StartEpoch,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,CTXT,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-21_19-15-53.167927103,1526922953.169951784,2018-05-21_19-15-53.174409434,1526922953.176513279,0.35,0.93,1.06,4391219512,4372427475314,16632542,10570498,9768203,11265158,11882579,18149226,16514031,13814432,168689,7,292618,66214183,6320,0,90225,0,163507,0,31007226,32804244,29496824,29979012,2116,805616
2018-05-21_19-16-23.229409201,1526922983.231524461,2018-05-21_19-16-23.236038920,1526922983.238000740,0.66,0.95,1.07,4480770046,4418206587362,16696517,10598314,9768203,11265158,11912535,19443092,16588862,13841071,170514,7,294610,66233010,6321,0,91411,0,165328,0,31165660,32804244,29494924,29976464,2116,805620
2018-05-21_19-16-53.290945461,1526923013.292989770,2018-05-21_19-16-53.297423269,1526923013.299434026,1.07,1.02,1.08,4566787524,4464272897250,16740482,10624321,9768203,11317752,11945788,19640345,16607943,15095243,172470,7,296670,66251682,6323,0,92500,0,167279,0,31315501,32804244,29494744,29976348,2116,805620
2018-05-21_19-17-23.352339844,1526923043.354320519,2018-05-21_19-17-23.359083356,1526923043.361206568,1.32,1.09,1.10,4659151178,4510704700810,16806566,10691691,9919564,11350225,13281921,19697099,16633645,15105597,174522,7,298720,66270133,6332,0,93667,0,169327,0,31459297,32804244,29495164,29976504,2116,805620
2018-05-21_19-17-53.413797458,1526923073.415834812,2018-05-21_19-17-53.420199192,1526923073.422113691,1.05,1.04,1.09,4750229840,4556752534984,16933533,10691691,9971493,11453389,13283852,19723044,17959685,15105597,176465,7,300748,66288780,6336,0,94840,0,171265,0,31617580,32804244,29494300,29976212,2116,805620
2018-05-21_19-18-23.473937941,1526923103.476110210,2018-05-21_19-18-23.480494128,1526923103.482447792,1.42,1.13,1.12,4836215830,4602423365030,16933533,10819422,9971494,11638454,13283852,21056795,17959685,15131157,178461,7,302783,66307351,6338,0,96022,0,173255,0,31768038,32804244,29482192,29964084,2116,805628
2018-05-21_19-18-53.536350785,1526923133.538417713,2018-05-21_19-18-53.542894093,1526923133.544816642,1.38,1.15,1.13,4919895260,4646912280152,16946193,10925925,10027620,11639616,13307682,21064191,17959685,16484723,180354,7,304771,66326136,6339,0,97149,0,175142,0,31928188,32804244,29483088,29964340,2116,805632
2018-05-21_19-19-23.596495095,1526923163.598627165,2018-05-21_19-19-23.603239978,1526923163.605203636,1.41,1.19,1.14,5007703394,4693692527964,17034189,11032833,10089992,11686606,14606794,21116109,17982472,16514819,182391,7,306797,66344613,6339,0,98429,0,177174,0,32052739,32804244,29480608,29962220,2116,805632
2018-05-21_19-19-53.656043782,1526923193.658101940,2018-05-21_19-19-53.662711059,1526923193.664779373,1.53,1.23,1.15,5098000552,4742325738910,17100245,11062907,10126033,11768191,14671751,21140780,19368082,16521618,184186,7,309006,66363155,6340,0,99735,0,178861,0,32251998,32804244,29478228,29960168,2116,805632
2018-05-21_19-20-23.714984885,1526923223.717202234,2018-05-21_19-20-23.722047425,1526923223.724024264,1.58,1.27,1.17,5193873902,4790716417410,17148159,11062907,10185388,11812399,14688676,22566682,19368082,16638024,186011,7,311276,66381586,6343,0,101110,0,180533,0,32457948,32804244,29478336,29959724,2116,805640
2018-05-21_19-20-53.775492657,1526923253.777700356,2018-05-21_19-20-53.782323125,1526923253.784443896,1.68,1.33,1.19,5277390644,4831940014092,17214977,11107123,10185612,11812399,14705244,22619603,19368127,17793947,187493,7,313660,66400457,6347,0,102271,0,181860,0,32676489,32804244,29478804,29960472,2116,805648
2018-05-21_19-21-23.836912103,1526923283.838956114,2018-05-21_19-21-23.843402408,1526923283.845377026,1.74,1.38,1.21,5341480890,4873703816692,17330492,11107791,10185612,11855176,15665468,22749431,19388819,17806545,188943,7,316126,66419310,6349,0,103400,0,183166,0,32893588,32804244,29490252,29971596,2116,805640
2018-05-21_19-21-53.897968590,1526923313.900062998,2018-05-21_19-21-53.904423515,1526923313.906520743,1.74,1.42,1.23,5424927616,4914108270358,17512896,11107791,10214948,11855176,15695066,22763990,20544219,17806570,190374,7,318564,66438162,6355,0,104596,0,184453,0,33119983,32804244,29490340,29972292,2116,805640
2018-05-21_19-22-23.958006727,1526923343.960044564,2018-05-21_19-22-23.964630098,1526923343.966694138,1.88,1.48,1.25,5502150598,4955458809478,17512896,11273851,10214948,11855251,15707519,23941035,20666791,17834395,191837,7,321017,66456949,6359,0,105799,0,185770,0,33338608,32804244,29490924,29972880,2116,805644
2018-05-21_19-22-54.019089236,1526923374.021119804,2018-05-21_19-22-54.025447157,1526923374.027476873,1.80,1.49,1.27,5577788172,4995837035214,17533982,11431658,10229068,11855282,15731529,23954882,20666791,19021206,193255,7,323467,66475861,6361,0,106933,0,187042,0,33562370,32804244,29491776,29973452,2116,805644
2018-05-21_19-23-24.079710019,1526923404.081916019,2018-05-21_19-23-24.086506149,1526923404.088521060,1.74,1.51,1.28,5654175122,5036732345766,18700872,11573805,10239364,11855282,15746175,23954882,20689167,19079452,194725,7,325880,66494745,6363,0,108080,0,188365,0,33776045,32804244,29489872,29971828,2116,805644
2018-05-21_19-23-54.142185560,1526923434.144258229,2018-05-21_19-23-54.148744746,1526923434.150716672,1.65,1.51,1.29,5731124632,5078583350264,18789603,11601880,11408843,12019770,15761085,24001519,20689275,19079452,196194,7,328326,66513566,6364,0,109257,0,189685,0,33986840,32804244,29488900,29970648,2116,805644
