StartTime,StartEpoch,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,user,nice,system,idle,iowait,irq,so
ftirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-04-27_21-15-13.849195866,1524856513.850566600,2018-04-27_21-15-13.853571863,1524856513.854884730,0.80,0.71,0.56,2521468588726,1027615554,3693928,6091427,3716092,5211402,0,0,0,0,132518,0,96077,12044977,2804,0,35764,0,0,0,32805052,31780092,31681332,948,188576
2018-04-27_21-15-43.887886169,1524856543.889262826,2018-04-27_21-15-43.892244873,1524856543.893548360,0.96,0.75,0.58,2595498136268,1054122480,3694022,6091472,4205655,5377530,0,0,0,0,132549,0,97733,12066017,2804,0,36944,0,0,0,32805052,31779428,31679508,948,188572
2018-04-27_21-16-13.926798314,1524856573.928533505,2018-04-27_21-16-13.931770117,1524856573.933089284,0.85,0.74,0.59,2674491406814,1100913306,3942909,6191578,4384401,5377793,0,0,0,0,132581,0,99312,12087035,2804,0,37651,0,0,0,32805052,31794328,31694576,948,188580
2018-04-27_21-16-43.967170030,1524856603.968541466,2018-04-27_21-16-43.971563576,1524856603.972866553,0.92,0.77,0.60,2748482909046,1133683092,4025404,6211731,4901194,5383584,0,0,0,0,132608,0,100983,12108071,2804,0,38705,0,0,0,32805052,31783132,31682444,948,188580
2018-04-27_21-17-14.006407252,1524856634.008390065,2018-04-27_21-17-14.011958695,1524856634.013520249,0.81,0.76,0.60,2829478884238,1183080498,4267826,6303730,5095948,5393278,0,0,0,0,132645,0,102534,12129084,2804,0,39360,0,0,0,32805052,31793880,31693712,948,188584
2018-04-27_21-17-44.047092756,1524856664.048411933,2018-04-27_21-17-44.051316378,1524856664.052608487,0.83,0.77,0.61,2903655482620,1215553464,4354500,6666987,5095967,5393296,0,0,0,0,132675,0,104175,12150107,2804,0,40448,0,0,0,32805052,31780508,31680532,948,188584
2018-04-27_21-18-14.085324168,1524856694.086694974,2018-04-27_21-18-14.089617908,1524856694.090930190,0.90,0.79,0.62,2974656676792,1242673650,4354501,6775826,5095967,5907904,0,0,0,0,132702,0,105943,12171117,2804,0,41664,0,0,0,32805052,31793748,31693836,948,188576
2018-04-27_21-18-44.123545964,1524856724.125122300,2018-04-27_21-18-44.129128839,1524856724.130591678,0.93,0.81,0.63,3054960996564,1289707536,4800512,6857942,5103676,6102751,0,0,0,0,132729,0,107477,12192133,2804,0,42407,0,0,0,32805052,31807740,31707828,948,188576
2018-04-27_21-19-14.165393732,1524856754.166780359,2018-04-27_21-19-14.169700017,1524856754.170993090,0.78,0.78,0.63,3128564029562,1323211422,4940221,6898332,5442170,6102772,0,0,0,0,132758,0,109124,12213169,2804,0,43463,0,0,0,32805052,31794604,31694628,948,188576
2018-04-27_21-19-44.203834404,1524856784.205662008,2018-04-27_21-19-44.208929686,1524856784.210255112,0.81,0.79,0.63,3209365558698,1351843608,4940528,6898714,5558322,6434860,0,0,0,0,132787,0,110576,12234293,2804,0,44547,0,0,0,32805052,31806124,31706360,948,188576
2018-04-27_21-20-14.245601653,1524856814.246951765,2018-04-27_21-20-14.249888148,1524856814.251176749,0.89,0.81,0.65,3284179644590,1379011194,4940647,7390475,5558343,6545890,0,0,0,0,132817,0,112192,12255355,2804,0,45703,0,0,0,32805052,31796576,31696240,948,188580
2018-04-27_21-20-44.283768836,1524856844.285403690,2018-04-27_21-20-44.288799659,1524856844.290111638,0.87,0.81,0.65,3355954322580,1406208060,4940648,7552497,5558343,6886946,0,0,0,0,132845,0,113939,12276370,2804,0,46937,0,0,0,32805052,31796004,31695804,948,188580
2018-04-27_21-21-14.322545089,1524856874.323879690,2018-04-27_21-21-14.326788504,1524856874.328090231,0.86,0.81,0.66,3427823398520,1433925246,4940648,8075339,5558343,7003943,0,0,0,0,132875,0,115706,12297382,2804,0,48150,0,0,0,32805052,31794580,31694380,948,188580
2018-04-27_21-21-44.360693013,1524856904.362033924,2018-04-27_21-21-44.364945709,1524856904.366237786,0.69,0.78,0.65,3507221236884,1484951832,5353551,8392945,5560320,7007634,0,0,0,0,132907,0,117263,12318386,2804,0,48758,0,0,0,32805052,31807324,31707900,948,188584
2018-04-27_21-22-14.400410214,1524856934.401743714,2018-04-27_21-22-14.404816312,1524856934.406114372,0.81,0.80,0.67,3581270946638,1520886978,5480688,8434311,5897173,7017126,0,0,0,0,132933,0,118927,12339419,2804,0,49736,0,0,0,32805052,31797900,31698152,948,188584
2018-04-27_21-22-44.438628796,1524856964.440215400,2018-04-27_21-22-44.443382344,1524856964.444889236,0.82,0.81,0.67,3659551521100,1549562904,5480860,8434373,6012157,7359535,0,0,0,0,132959,0,120484,12360491,2804,0,50909,0,0,0,32805052,31807360,31707388,948,188584
