StartTime,StartEpoch,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-15_17-42-11.155596532,1526398931.158059533,2018-05-15_17-42-11.163997533,1526398931.166602888,0.02,0.17,0.12,2635220260,4689322,15501,0,0,0,0,111881,0,0,751,0,1985,250986,2253,0,6,0,0,0,32804244,31585128,31474824,2116,171408
2018-05-15_17-42-41.222174598,1526398961.224468474,2018-05-15_17-42-41.229302571,1526398961.231851225,0.26,0.22,0.14,49202319844,86958028,301560,0,0,0,0,2017912,0,0,809,0,3511,271961,2253,0,40,0,0,0,32804244,31584092,31473724,2116,171408
2018-05-15_17-43-11.291412430,1526398991.294022710,2018-05-15_17-43-11.299550161,1526398991.302237495,0.34,0.25,0.15,94598671044,167015194,519203,0,0,0,0,3836751,0,0,864,0,4976,292978,2253,0,54,0,0,0,32804244,31584764,31474212,2116,171408
2018-05-15_17-43-41.360780304,1526399021.363888917,2018-05-15_17-43-41.369799936,1526399021.372665722,0.33,0.25,0.15,141540523274,249445900,843244,0,0,0,0,5710784,0,0,920,0,6537,313894,2253,0,92,0,0,0,32804244,31584412,31474656,2116,171408
2018-05-15_17-44-11.429810948,1526399051.431937588,2018-05-15_17-44-11.437483462,1526399051.440021383,0.46,0.29,0.17,187603433220,329970106,1157796,0,0,0,0,7565550,0,0,976,0,8001,334876,2253,0,116,0,0,0,32804244,31584528,31475052,2116,171408
2018-05-15_17-44-41.496485591,1526399081.499201060,2018-05-15_17-44-41.504771493,1526399081.507100665,0.52,0.33,0.18,231263314594,406326652,1487686,0,0,0,0,9381833,0,0,1037,0,9404,355957,2255,0,150,0,0,0,32804244,31584728,31474232,2116,171568
2018-05-15_17-45-11.567229182,1526399111.569796783,2018-05-15_17-45-11.575203651,1526399111.578015169,0.38,0.31,0.18,274691385552,482371258,1865997,0,0,0,0,11116753,0,0,1097,0,10800,377056,2255,0,190,0,0,0,32804244,31583684,31473756,2116,171568
2018-05-15_17-45-41.634272746,1526399141.636560685,2018-05-15_17-45-41.641090208,1526399141.643054414,0.48,0.35,0.20,311360773412,546965824,2115212,39853,0,0,0,12590095,0,0,1150,0,11909,398618,2255,0,215,0,0,0,32804244,31570792,31461128,2116,171576
2018-05-15_17-46-11.695920580,1526399171.698116179,2018-05-15_17-46-11.703173030,1526399171.705424286,0.29,0.31,0.19,326908552272,575256670,2238425,733133,0,0,0,12590095,0,0,1177,0,12332,421702,2255,0,230,0,0,0,32804244,31569848,31459544,2116,171576
2018-05-15_17-46-41.756062989,1526399201.758313520,2018-05-15_17-46-41.762715046,1526399201.764658333,0.32,0.32,0.20,343069369518,605223736,2355830,1460491,0,0,0,12590095,0,0,1212,0,12786,444758,2255,0,243,0,0,0,32804244,31569180,31459780,2116,171580
2018-05-15_17-47-11.815071480,1526399231.817174146,2018-05-15_17-47-11.822232191,1526399231.824306575,0.27,0.30,0.20,359234480244,635909842,2504720,2173694,0,0,0,12590095,0,0,1244,0,13267,467830,2255,0,255,0,0,0,32804244,31570968,31460968,2116,171580
2018-05-15_17-47-41.876062272,1526399261.878033765,2018-05-15_17-47-41.882183152,1526399261.884080566,0.16,0.27,0.19,375430997068,665678548,2628701,2904648,0,0,0,12590095,0,0,1272,0,13714,490884,2255,0,272,0,0,0,32804244,31570700,31461032,2116,171580
2018-05-15_17-48-11.932645116,1526399291.934832479,2018-05-15_17-48-11.939974345,1526399291.942102984,0.18,0.26,0.19,390041281564,692492854,2817178,3541748,0,0,0,12590095,0,0,1391,0,14309,513774,2256,0,330,0,0,0,32804244,31568976,31458560,2116,171844
2018-05-15_17-48-41.992589316,1526399321.994753273,2018-05-15_17-48-41.999893954,1526399322.001885242,0.33,0.29,0.20,406535036076,723542860,2918416,4309921,0,0,0,12590095,0,0,1425,0,14748,536825,2256,0,350,0,0,0,32804244,31581796,31471720,2116,171836
2018-05-15_17-49-12.052433770,1526399352.054433135,2018-05-15_17-49-12.058884873,1526399352.060894954,0.38,0.31,0.21,423192397684,755093806,3007730,5094777,0,0,0,12590095,0,0,1456,0,15185,559877,2256,0,366,0,0,0,32804244,31581956,31472072,2116,171836
2018-05-15_17-49-42.110949126,1526399382.112862646,2018-05-15_17-49-42.117008114,1526399382.118888338,0.28,0.29,0.21,438871084454,783670912,3125644,5786424,0,31965,0,12590095,0,0,1482,0,15589,582947,2256,0,377,0,0,0,32804244,31583248,31472592,2116,171836
2018-05-15_17-50-12.165640680,1526399412.167557838,2018-05-15_17-50-12.171732698,1526399412.173805552,0.30,0.30,0.21,454537884686,812501458,3254362,5786424,0,762861,0,12590095,0,0,1561,0,16089,605874,2256,0,409,0,0,0,32804244,31578716,31468944,2116,171848
2018-05-15_17-50-42.219771764,1526399442.221827898,2018-05-15_17-50-42.226125035,1526399442.228036877,0.44,0.33,0.23,469765285346,840788044,3427750,5786424,0,1445563,0,12590095,0,0,1728,0,16744,628580,2256,0,472,0,0,0,32804244,31579000,31469100,2116,171848
2018-05-15_17-51-12.274482466,1526399472.276652446,2018-05-15_17-51-12.281290005,1526399472.283297538,0.51,0.36,0.24,484660176656,868353070,3619549,5786424,0,2112432,0,12590095,0,0,1884,0,17394,651300,2256,0,527,0,0,0,32804244,31579044,31469496,2116,171848
2018-05-15_17-51-42.330654631,1526399502.332709642,2018-05-15_17-51-42.337049189,1526399502.339075571,0.31,0.33,0.23,499175868936,895149196,3813526,5786424,0,2762551,0,12590095,0,0,2048,0,18016,674038,2256,0,586,0,0,0,32804244,31578752,31468896,2116,171848
2018-05-15_17-52-12.386580033,1526399532.388774947,2018-05-15_17-52-12.393271864,1526399532.395215280,0.19,0.30,0.22,515442165026,926845942,3975918,5786424,0,3476129,0,12590095,0,0,2209,0,18642,696713,2256,0,651,0,0,0,32804244,31578820,31469192,2116,171848
2018-05-15_17-52-42.441612997,1526399562.443541726,2018-05-15_17-52-42.447800945,1526399562.449670009,0.18,0.28,0.22,531418134128,957839368,4142446,5786424,0,4174186,0,12590095,0,0,2375,0,19235,719399,2256,0,715,0,0,0,32804244,31578992,31469068,2116,171848
2018-05-15_17-53-12.495010835,1526399592.497245434,2018-05-15_17-53-12.501527122,1526399592.503454943,0.34,0.32,0.24,547672624946,989363914,4313952,5786424,0,4885280,0,12590095,0,0,2538,0,19829,742073,2256,0,779,0,0,0,32804244,31578164,31468464,2116,171848
2018-05-15_17-53-42.550589053,1526399622.552543695,2018-05-15_17-53-42.556970740,1526399622.558920493,0.33,0.32,0.24,563870616564,1020326740,4470817,5786424,0,5576018,0,12590095,0,22305,2704,0,20423,764734,2256,0,846,0,0,0,32804244,31564804,31455440,2116,171860
2018-05-15_17-54-12.606120143,1526399652.608126313,2018-05-15_17-54-12.612518149,1526399652.614427329,0.20,0.29,0.23,579839095030,1048320766,4631381,5786424,0,5576018,0,12590095,0,597287,2862,0,21083,787348,2256,0,916,0,0,0,32804244,31565088,31455388,2116,171860
2018-05-15_17-54-42.661849967,1526399682.663890245,2018-05-15_17-54-42.668280696,1526399682.670195301,0.31,0.31,0.24,594727955882,1074523492,4814645,5786424,0,5576018,0,12590095,0,1120665,3020,0,21724,809986,2256,0,994,0,0,0,32804244,31565028,31455408,2116,171860
2018-05-15_17-55-12.718054662,1526399712.719995315,2018-05-15_17-55-12.724205586,1526399712.726104895,0.24,0.29,0.23,610760897000,1102681258,4977307,5786424,0,5576018,0,12590095,0,1699032,3182,0,22393,832594,2256,0,1065,0,0,0,32804244,31565728,31455820,2116,171864
2018-05-15_17-55-42.773611532,1526399742.775733301,2018-05-15_17-55-42.780339005,1526399742.782272790,0.15,0.27,0.23,626029059310,1129685164,5158679,5786424,0,5576018,0,12590095,0,2237970,3243,0,22850,855537,2256,0,1088,0,0,0,32804244,31568280,31458664,2116,171864
2018-05-15_17-56-12.829371521,1526399772.831366643,2018-05-15_17-56-12.835674896,1526399772.837573456,0.15,0.26,0.22,642261736478,1158526690,5304725,5786424,0,5576018,0,12590095,0,2875765,3270,0,23272,878487,2256,0,1099,0,0,0,32804244,31568872,31458656,2116,171868
2018-05-15_17-56-42.885905428,1526399802.888014401,2018-05-15_17-56-42.892679087,1526399802.894655734,0.22,0.26,0.23,659062821630,1188079396,5455592,5786424,0,5576018,0,12590095,0,3519203,3295,0,23731,901421,2256,0,1118,0,0,0,32804244,31581740,31471760,2116,171860
2018-05-15_17-57-12.942061047,1526399832.944201145,2018-05-15_17-57-12.948695528,1526399832.950632078,0.20,0.25,0.23,674841005528,1216103062,5550961,5786424,0,5576018,0,12590095,0,4183049,3317,0,24193,924394,2256,0,1125,0,0,0,32804244,31581184,31471528,2116,171860
2018-05-15_17-57-42.998568236,1526399863.000729051,2018-05-15_17-57-43.005471411,1526399863.007410505,0.20,0.25,0.23,689965198536,1243047328,5695804,5786424,0,5576018,0,12590095,20720,4753548,3342,0,24634,947399,2256,0,1139,0,0,0,32804244,31581728,31472324,2116,171860
2018-05-15_17-58-13.056724986,1526399893.058687677,2018-05-15_17-58-13.063175483,1526399893.065260552,0.12,0.22,0.22,705992189088,1271385814,5838380,5786424,0,5576018,0,12590095,654529,4753548,3368,0,25130,970354,2256,0,1150,0,0,0,32804244,31582212,31471688,2116,171864
2018-05-15_17-58-43.113237986,1526399923.115271846,2018-05-15_17-58-43.119915728,1526399923.121922052,0.15,0.22,0.22,722559265612,1300624780,5982245,5786424,0,5576018,0,12590095,1302524,4753548,3391,0,25650,993295,2256,0,1162,0,0,0,32804244,31581132,31471520,2116,171864
2018-05-15_17-59-13.169950328,1526399953.172305241,2018-05-15_17-59-13.176904333,1526399953.178920911,0.24,0.23,0.22,739271885082,1329921406,6121150,5786424,0,5576018,0,12590095,1952517,4753548,3411,0,26166,1016247,2256,0,1177,0,0,0,32804244,31582444,31472436,2116,171864
2018-05-15_17-59-43.225929008,1526399983.228323039,2018-05-15_17-59-43.232989372,1526399983.235002312,0.20,0.22,0.22,755980769594,1359104872,6256140,5786424,0,5576018,0,12590095,2601936,4753548,3431,0,26690,1039208,2256,0,1190,0,0,0,32804244,31581504,31471840,2116,171864
2018-05-15_18-00-13.283466915,1526400013.285668806,2018-05-15_18-00-13.290465440,1526400013.292507827,0.12,0.20,0.22,772538491350,1388349118,6406621,5786424,0,5576018,0,12590095,3242787,4753548,3454,0,27191,1062150,2256,0,1210,0,0,0,32804244,31581232,31472104,2116,171872
2018-05-15_18-00-43.341727173,1526400043.343712689,2018-05-15_18-00-43.348166222,1526400043.350190230,0.20,0.22,0.22,788614167352,1416863164,6559563,5786424,0,5576018,0,12590095,3866117,4753548,3476,0,27690,1085096,2256,0,1228,0,0,0,32804244,31581636,31472016,2116,171872
2018-05-15_18-01-13.398476118,1526400073.400527785,2018-05-15_18-01-13.405455268,1526400073.407543281,0.30,0.24,0.23,804599633416,1445200330,6688026,5786424,0,5576018,0,12590095,4517278,4753548,3501,0,28186,1108020,2260,0,1242,0,0,0,32804244,31582020,31471840,2116,171884
2018-05-15_18-01-43.455025234,1526400103.457032674,2018-05-15_18-01-43.461581764,1526400103.463554711,0.24,0.23,0.23,820597563112,1473496216,6819382,5786424,18491,5576018,0,12590095,5144879,4753548,3527,0,28694,1130950,2260,0,1257,0,0,0,32804244,31568428,31459040,2116,171892
2018-05-15_18-02-13.511964088,1526400133.514039860,2018-05-15_18-02-13.518511402,1526400133.520406445,0.20,0.23,0.22,836880170496,1503433042,6933960,5786424,775703,5576018,0,12590095,5144879,4753548,3553,0,29136,1154002,2260,0,1266,0,0,0,32804244,31569360,31459512,2116,171892
2018-05-15_18-02-43.567902564,1526400163.569822539,2018-05-15_18-02-43.574084585,1526400163.576166871,0.18,0.22,0.22,853297721044,1534429228,7034263,5786424,1530452,5576018,0,12590095,5144879,4753548,3585,0,29588,1177064,2260,0,1275,0,0,0,32804244,31568236,31458856,2116,171896
2018-05-15_18-03-13.624006427,1526400193.626211539,2018-05-15_18-03-13.630575861,1526400193.632532756,0.11,0.20,0.22,869225447754,1563519814,7166099,5786424,2254061,5576018,0,12590095,5144879,4753548,3614,0,30036,1200129,2260,0,1291,0,0,0,32804244,31568752,31459120,2116,171896
