StartTime,StartEpoch,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,CTXT,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-18_14-15-07.167348568,1526645707.169395703,2018-05-18_14-15-07.174052092,1526645707.176250132,0.01,0.14,0.11,2745993384,4876522,15562,0,0,0,0,5,0,113407,765,0,1990,332383,2444,0,6,0,0,0,254522,32804244,31588256,31477800,2116,170248
2018-05-18_14-15-37.233721205,1526645737.236002789,2018-05-18_14-15-37.240307688,1526645737.242073300,0.22,0.17,0.13,54522775266,94862968,434538,0,0,0,0,5,0,2085000,816,0,3508,353210,2444,0,72,0,0,0,1369886,32804244,31589976,31479784,2116,170248
2018-05-18_14-16-07.291049739,1526645767.294831395,2018-05-18_14-16-07.299840472,1526645767.301748882,0.45,0.24,0.15,107453554480,158865454,2875987,0,0,0,109390,5,0,2085000,859,0,4618,374623,2444,0,735,0,0,0,2348119,32804244,31588948,31477944,2116,170248
2018-05-18_14-16-37.353527027,1526645797.355883709,2018-05-18_14-16-37.360665546,1526645797.362589698,0.55,0.28,0.16,156965810714,244747120,3327387,0,123251,0,1891696,5,0,2085000,907,0,6168,395632,2444,0,758,0,0,0,3407778,32804244,31588592,31478428,2116,170248
2018-05-18_14-17-07.414425413,1526645827.417272468,2018-05-18_14-17-07.421889847,1526645827.424454916,0.47,0.28,0.17,208509168400,343069366,3615985,0,2434467,0,1891696,5,106384,2085000,982,0,7568,416702,2444,0,783,0,0,0,5046371,32804244,31576108,31465660,2116,170256
2018-05-18_14-17-37.484531061,1526645857.486698478,2018-05-18_14-17-37.491392950,1526645857.493380938,0.49,0.30,0.18,257626556114,430222792,3892116,0,2434467,0,1891696,5,2018183,2142787,1033,0,9019,437585,2444,0,812,0,0,0,6199295,32804244,31575124,31464608,2116,170260
2018-05-18_14-18-07.547125450,1526645887.549233545,2018-05-18_14-18-07.553749176,1526645887.555683502,0.44,0.31,0.18,286537095072,481396378,4143249,0,2434467,67390,1891696,5,2018183,3188362,1095,0,9982,459735,2445,0,857,0,0,0,6823990,32804244,31573652,31462488,2116,170520
2018-05-18_14-18-37.605308971,1526645917.607856835,2018-05-18_14-18-37.612406740,1526645917.614441482,0.42,0.31,0.19,316376437104,537259864,4332813,0,2434467,1398122,1891696,56009,2018183,3188362,1142,0,10809,482036,2445,0,872,0,0,0,7765146,32804244,31573900,31463832,2116,170524
2018-05-18_14-19-07.673173325,1526645947.675329392,2018-05-18_14-19-07.680759100,1526645947.682892141,0.39,0.31,0.19,346194764046,590112790,4542788,64412,2434467,1398122,1891696,1187636,2018183,3188362,1172,0,11695,504180,2445,0,894,0,0,0,8427859,32804244,31574000,31463636,2116,170524
2018-05-18_14-19-37.738254199,1526645977.740398746,2018-05-18_14-19-37.744927442,1526645977.746963015,0.57,0.36,0.22,376075004522,646327216,4724026,1385491,2434467,1398122,1891696,1187636,2073423,3188362,1216,0,12515,526481,2445,0,914,0,0,0,9357900,32804244,31574352,31463748,2116,170524
